subject_id,fixation_position,valence_diff,prop_positive,prop_negative,group,decision
H106,20,0.0,0.0,0.0,human,take
H106,21,1.0,1.0,0.0,human,take
H106,22,-1.0,0.0,1.0,human,take
H106,23,1.0,1.0,0.0,human,take
H106,24,-1.0,0.0,1.0,human,take
H106,25,1.0,1.0,0.0,human,take
H106,26,-1.0,0.0,1.0,human,take
H106,27,0.0,0.0,0.0,human,take
H106,28,1.0,1.0,0.0,human,take
H106,29,0.0,0.0,0.0,human,take
H106,30,1.0,1.0,0.0,human,take
H106,31,0.0,0.0,0.0,human,take
H106,32,1.0,1.0,0.0,human,take
H108,1,0.0967741935483871,0.25806451612903225,0.16129032258064516,human,take
H108,2,0.06666666666666665,0.36666666666666664,0.3,human,take
H108,3,0.10714285714285715,0.35714285714285715,0.25,human,take
H108,4,0.11538461538461536,0.34615384615384615,0.23076923076923078,human,take
H108,5,-0.043478260869565216,0.21739130434782608,0.2608695652173913,human,take
H108,6,-0.2727272727272727,0.2727272727272727,0.5454545454545454,human,take
H108,7,0.09999999999999998,0.3,0.2,human,take
H108,8,-0.17647058823529413,0.11764705882352941,0.29411764705882354,human,take
H108,9,0.07142857142857142,0.2857142857142857,0.21428571428571427,human,take
H108,10,-0.33333333333333337,0.08333333333333333,0.4166666666666667,human,take
H108,11,0.30000000000000004,0.4,0.1,human,take
H108,12,-0.09999999999999998,0.2,0.3,human,take
H108,13,-0.19999999999999998,0.1,0.3,human,take
H108,14,0.0,0.3333333333333333,0.3333333333333333,human,take
H108,15,-0.125,0.125,0.25,human,take
H108,16,-0.14285714285714285,0.14285714285714285,0.2857142857142857,human,take
H108,17,0.2857142857142857,0.2857142857142857,0.0,human,take
H108,18,-0.2,0.2,0.4,human,take
H108,19,0.4,0.4,0.0,human,take
H108,20,0.3333333333333333,0.3333333333333333,0.0,human,take
H108,21,0.0,0.0,0.0,human,take
H108,22,0.0,0.5,0.5,human,take
H108,23,0.0,0.0,0.0,human,take
H108,24,1.0,1.0,0.0,human,take
H108,25,0.0,0.0,0.0,human,take
H108,26,-1.0,0.0,1.0,human,take
H109,1,0.0,0.3157894736842105,0.3157894736842105,human,take
