subject_id,fixation_position,prop_relevant,group
H134,6,0.6333333333333333,human
H134,7,0.5208333333333334,human
H135,1,0.4528301886792453,human
H135,2,0.5869565217391305,human
H135,3,0.4883720930232558,human
H135,4,0.5142857142857142,human
H135,5,0.5333333333333333,human
H135,6,0.4444444444444444,human
H135,7,0.5416666666666666,human
H136,1,0.34545454545454546,human
H136,2,0.6938775510204082,human
H136,3,0.3902439024390244,human
H136,4,0.5277777777777778,human
H136,5,0.375,human
H136,6,0.6923076923076923,human
H136,7,0.5909090909090909,human
H137,1,0.673469387755102,human
H137,2,0.6341463414634146,human
H137,3,0.65,human
H137,4,0.5405405405405406,human
H137,5,0.5882352941176471,human
H137,6,0.5625,human
H137,7,0.6,human
H138,1,0.5957446808510638,human
H138,2,0.6153846153846154,human
H138,3,0.5,human
H138,4,0.625,human
H138,5,0.6666666666666666,human
H138,6,1.0,human
H139,1,0.5454545454545454,human
H139,2,0.6153846153846154,human
H139,3,0.5294117647058824,human
H139,4,0.4838709677419355,human
H139,5,0.5,human
H139,6,0.36,human
H139,7,0.45454545454545453,human
H140,1,0.48214285714285715,human
H140,2,0.5555555555555556,human
H140,3,0.4528301886792453,human
H140,4,0.6346153846153846,human
H140,5,0.4489795918367347,human
H140,6,0.5957446808510638,human
H140,7,0.4777777777777778,human
H141,1,0.6037735849056604,human
H141,2,0.5625,human
H141,3,0.5227272727272727,human
H141,4,0.5882352941176471,human
H141,5,0.5357142857142857,human
H141,6,0.43478260869565216,human
H141,7,0.47368421052631576,human
H142,1,0.5945945945945946,human
H142,2,0.47368421052631576,human
H142,3,0.45454545454545453,human
H142,4,0.5714285714285714,human
H142,5,0.3333333333333333,human
H142,6,0.6666666666666666,human
H142,7,0.5833333333333334,human
H144,1,0.5892857142857143,human
H144,2,0.5294117647058824,human
H144,3,0.5609756097560976,human
H144,4,0.6285714285714286,human
H144,5,0.5217391304347826,human
H144,6,0.6666666666666666,human
H144,7,0.4230769230769231,human
H146,1,0.7291666666666666,human
H146,2,0.5833333333333334,human
H146,3,0.6875,human
H146,4,0.5833333333333334,human
H146,5,0.6458333333333334,human
H146,6,0.7291666666666666,human
H146,7,0.6276595744680851,human
H148,1,0.4772727272727273,human
H148,2,0.47368421052631576,human
H148,3,0.3870967741935484,human
H148,4,0.38461538461538464,human
H148,5,0.5217391304347826,human
H148,6,0.4444444444444444,human
H148,7,0.5333333333333333,human
H149,1,0.5535714285714286,human
H149,2,0.5178571428571429,human
H149,3,0.6909090909090909,human
H149,4,0.5185185185185185,human
H149,5,0.68,human
H149,6,0.5531914893617021,human
H149,7,0.6022727272727273,human
H150,1,0.6071428571428571,human
H150,2,0.5535714285714286,human
H150,3,0.6428571428571429,human
H150,4,0.5535714285714286,human
H150,5,0.5714285714285714,human
H150,6,0.6,human
H150,7,0.5818181818181818,human
N901,1,0.49679937782297867,nn
N901,2,0.5049033901686644,nn
N901,3,0.5102853458004192,nn
N901,4,0.520061382485301,nn
N901,5,0.52509558437664,nn
N901,6,0.5300669532154075,nn
N901,7,0.5412741552847963,nn
N902,1,0.5002024807643274,nn
N902,2,0.5034416766984597,nn
N902,3,0.5105407433997977,nn
N902,4,0.523910073282822,nn
N902,5,0.5230560844899,nn
N902,6,0.5303902892836575,nn
N902,7,0.5445805297245533,nn
N903,1,0.4992576596031853,nn
N903,2,0.5033395630993597,nn
N903,3,0.5107658545894027,nn
N903,4,0.5180619699387018,nn
N903,5,0.5237408515701049,nn
N903,6,0.5299377763863343,nn
N903,7,0.541316722156589,nn
N904,1,0.4998569427921755,nn
N904,2,0.5031692910349933,nn
N904,3,0.511418986484307,nn
N904,4,0.5164231383389708,nn
N904,5,0.5284966398098986,nn
N904,6,0.5336045565500407,nn
N904,7,0.5481900503579251,nn
N905,1,0.5015578668513028,nn
N905,2,0.4995426285678848,nn
N905,3,0.5094364308376672,nn
N905,4,0.5184798939460893,nn
N905,5,0.5250744931544199,nn
N905,6,0.5295332956374234,nn
N905,7,0.5383023284464704,nn
