game,original_item,item,onset,offset
1,MINUS,MINUS,1.9,2.5
1,3,3,2.5,3.0
1,POSITIVE,POSITIVE,9.6,10.3
1,9,9,10.3,10.8
1,POSITIVE,POSITIVE,16.2,16.8
1,2,2,16.8,17.9
1,NEGATIVE,NEGATIVE,21.4,21.8
1,9,9,21.8,22.4
1,NEGATIVE,NEGATIVE,28.2,28.7
1,3,3,28.7,29.8
1,POSITIVE,POSITIVE,32.7,33.3
1,3,3,33.3,34.8
2,PLUS,PLUS,1.9,2.6
2,4,4,2.6,3.3
2,MINUS,MINUS,9.9,10.6
2,4,4,10.6,10.8
2,PLUS,PLUS,18.8,19.4
2,9,9,19.4,19.6
2,MINUS,MINUS,23.6,24.3
2,9,9,24.3,24.4
2,MINUS,MINUS,27.3,27.9
2,8,8,27.9,28.1
2,PLUS,PLUS,30.3,31.3
2,1,1,31.3,31.6
3,MINUS,MINUS,1.0,1.5
3,9,9,1.5,1.9
3,PLUS,PLUS,5.6,6.3
3,4,4,6.3,6.5
3,MINUS,MINUS,8.8,9.5
3,8,8,9.5,9.8
3,MINUS,MINUS,12.3,13.0
3,9,9,13.0,13.7
3,MINUS,MINUS,17.9,18.2
3,9,9,18.2,18.5
3,MINUS,MINUS,21.0,21.4
3,1,1,21.4,21.7
4,MINUS,MINUS,4.6,5.9
4,1,1,5.9,6.1
4,PLUS,PLUS,9.1,9.8
4,8,8,9.8,10.0
4,MINUS,MINUS,11.1,12.2
4,8,8,12.2,12.4
4,MINUS,MINUS,14.4,15.6
4,5,5,15.6,15.8
4,MINUS,MINUS,18.2,18.9
4,5,5,18.9,19.1
4,PLUS,PLUS,20.3,21.2
4,8,8,21.2,21.6
5,MINUS,MINUS,4.9,5.5
5,9,9,4.9,6.2
5,PLUS,PLUS,8.5,9.3
5,4,4,9.3,9.5
5,PLUS,PLUS,12.0,12.4
5,8,8,12.4,13.0
5,NEGATIVE,NEGATIVE,18.9,19.6
5,8,8,19.6,20.0
5,PLUS,PLUS,23.2,23.9
5,4,4,23.9,24.0
5,PLUS,PLUS,25.2,26.0
5,1,1,26.0,26.2
6,PLUS,PLUS,1.7,2.3
6,5,5,2.3,2.6
6,PLUS,PLUS,4.3,5.4
6,6,6,5.4,5.7
6,MINUS,MINUS,9.0,9.8
6,2,2,9.8,9.9
6,PLUS,PLUS,13.7,14.4
6,6,6,14.4,14.6
6,MINUS,MINUS,16.6,17.3
6,6,6,17.3,17.6
6,PLUS,PLUS,18.9,19.8
6,1,1,19.8,20.0
7,+,+,1.2,1.8
7,1,1,1.8,1.9
7,MINUS,MINUS,4.4,5.2
7,5,5,5.2,5.3
7,MINUS,MINUS,9.7,10.4
7,6,6,10.4,10.6
7,PLUS,PLUS,12.4,13.6
7,9,9,13.6,13.8
7,PLUS,PLUS,15.6,16.2
7,4,4,16.2,16.6
7,PLUS,PLUS,18.8,19.0
7,5,5,19.0,19.2
