subject,phase,event,trial_number,game,option,choice,rt,roi_content,item_index,is_center,is_relevant,fix_start,fix_end,fix_duration_bounded
137,choice,choice,1,1.0,Solid,1.0,14.28652875003172,fixation,-1,1,0,2550516.0,2553991.0,3475.0
137,choice,choice,1,1.0,Solid,1.0,14.28652875003172,Animal_Sea_Solid_Small,0,0,1,2554028.0,2554240.0,212.0
137,choice,choice,1,1.0,Solid,1.0,14.28652875003172,fixation,-1,1,0,2554274.0,2564387.0,10113.0
137,choice,choice,2,1.0,Object,2.0,12.118630999990271,fixation,-1,1,0,2569143.0,2571793.0,2650.0
137,choice,choice,2,1.0,Object,2.0,12.118630999990271,Animal_Sea_Pattern_Small,1,0,0,2572142.0,2572275.0,133.0
137,choice,choice,2,1.0,Object,2.0,12.118630999990271,fixation,-1,1,0,2572305.0,2578124.0,5819.0
137,choice,choice,4,1.0,Small,2.0,13.89451337500941,fixation,-1,1,0,2589110.0,2594206.0,5096.0
137,choice,choice,4,1.0,Small,2.0,13.89451337500941,Animal_Sea_Pattern_Small,1,0,1,2594686.0,2594796.0,110.0
137,choice,choice,4,1.0,Small,2.0,13.89451337500941,fixation,-1,1,0,2594830.0,2600222.0,5392.0
137,choice,choice,5,1.0,Animal,2.0,12.201557916996537,fixation,-1,1,0,2605418.0,2606586.0,1168.0
137,choice,choice,5,1.0,Animal,2.0,12.201557916996537,Object_Sea_Pattern_Large,2,0,0,2606648.0,2606768.0,120.0
137,choice,choice,5,1.0,Animal,2.0,12.201557916996537,fixation,-1,1,0,2606822.0,2616155.0,9333.0
137,choice,choice,8,1.0,Pattern,1.0,5.175019624992274,fixation,-1,1,0,2626202.0,2627234.0,1032.0
137,choice,choice,8,1.0,Pattern,1.0,5.175019624992274,Animal_Sea_Pattern_Small,1,0,1,2627535.0,2627713.0,178.0
137,choice,choice,9,2.0,Solid,2.0,15.66020241600927,Animal_Sea_Pattern_Large,0,0,0,3114194.0,3119931.0,5737.0
137,choice,choice,9,2.0,Solid,2.0,15.66020241600927,Animal_Land_Pattern_Large,1,0,0,3120271.0,3120747.0,476.0
137,choice,choice,9,2.0,Solid,2.0,15.66020241600927,Object_Sea_Solid_Small,2,0,1,3120785.0,3121197.0,412.0
137,choice,choice,9,2.0,Solid,2.0,15.66020241600927,Animal_Land_Solid_Large,3,0,1,3121320.0,3121684.0,364.0
137,choice,choice,9,2.0,Solid,2.0,15.66020241600927,Object_Sea_Pattern_Small,4,0,0,3121737.0,3122191.0,454.0
137,choice,choice,9,2.0,Solid,2.0,15.66020241600927,Animal_Sea_Pattern_Large,0,0,0,3122251.0,3122464.0,213.0
137,choice,choice,9,2.0,Solid,2.0,15.66020241600927,Object_Land_Solid_Small,5,0,1,3122516.0,3123740.0,1224.0
137,choice,choice,9,2.0,Solid,2.0,15.66020241600927,Animal_Sea_Pattern_Large,0,0,0,3123825.0,3125360.0,1535.0
137,choice,choice,9,2.0,Solid,2.0,15.66020241600927,Animal_Land_Solid_Large,3,0,1,3125413.0,3126239.0,826.0
137,choice,choice,9,2.0,Solid,2.0,15.66020241600927,Object_Land_Solid_Small,5,0,1,3126310.0,3127162.0,852.0
137,choice,choice,9,2.0,Solid,2.0,15.66020241600927,Animal_Land_Pattern_Large,1,0,0,3127261.0,3127827.0,566.0
137,choice,choice,9,2.0,Solid,2.0,15.66020241600927,Object_Sea_Solid_Small,2,0,1,3127878.0,3128589.0,711.0
137,choice,choice,9,2.0,Solid,2.0,15.66020241600927,fixation,-1,1,0,3128627.0,3128778.0,151.0
137,choice,choice,9,2.0,Solid,2.0,15.66020241600927,Animal_Sea_Pattern_Large,0,0,0,3128808.0,3129077.0,269.0
137,choice,choice,9,2.0,Solid,2.0,15.66020241600927,Animal_Land_Solid_Large,3,0,1,3129131.0,3129216.0,85.0
137,choice,choice,9,2.0,Solid,2.0,15.66020241600927,fixation,-1,1,0,3129294.0,3129418.0,124.0
137,choice,choice,9,2.0,Solid,2.0,15.66020241600927,Animal_Sea_Pattern_Large,0,0,0,3129454.0,3129739.0,285.0
137,choice,choice,10,2.0,Animal,1.0,6.694102915993426,Animal_Land_Solid_Large,3,0,1,3133768.0,3136154.0,2386.0
137,choice,choice,10,2.0,Animal,1.0,6.694102915993426,Animal_Sea_Pattern_Large,0,0,1,3136822.0,3137784.0,962.0
137,choice,choice,10,2.0,Animal,1.0,6.694102915993426,Object_Land_Solid_Small,5,0,0,3137882.0,3138792.0,910.0
137,choice,choice,10,2.0,Animal,1.0,6.694102915993426,Animal_Land_Solid_Large,3,0,1,3138894.0,3139252.0,358.0
137,choice,choice,11,2.0,Small,2.0,10.574411417008378,Object_Land_Solid_Small,5,0,1,3144641.0,3146689.0,2048.0
137,choice,choice,11,2.0,Small,2.0,10.574411417008378,Object_Sea_Pattern_Small,4,0,1,3146777.0,3148985.0,2208.0
137,choice,choice,11,2.0,Small,2.0,10.574411417008378,Object_Sea_Solid_Small,2,0,1,3149214.0,3149507.0,293.0
137,choice,choice,11,2.0,Small,2.0,10.574411417008378,Animal_Land_Pattern_Large,1,0,0,3149546.0,3149768.0,222.0
137,choice,choice,11,2.0,Small,2.0,10.574411417008378,Object_Sea_Solid_Small,2,0,1,3149800.0,3150054.0,254.0
137,choice,choice,11,2.0,Small,2.0,10.574411417008378,Animal_Land_Pattern_Large,1,0,0,3150105.0,3151210.0,1105.0
137,choice,choice,11,2.0,Small,2.0,10.574411417008378,Animal_Sea_Pattern_Large,0,0,0,3151329.0,3152666.0,1337.0
137,choice,choice,11,2.0,Small,2.0,10.574411417008378,Object_Land_Solid_Small,5,0,1,3152785.0,3153203.0,418.0
137,choice,choice,11,2.0,Small,2.0,10.574411417008378,Animal_Sea_Pattern_Large,0,0,0,3153257.0,3153379.0,122.0
137,choice,choice,12,2.0,Large,1.0,5.6835984159843065,Animal_Land_Solid_Large,3,0,1,3157354.0,3157527.0,173.0
137,choice,choice,12,2.0,Large,1.0,5.6835984159843065,Animal_Sea_Pattern_Large,0,0,1,3157553.0,3158507.0,954.0
137,choice,choice,12,2.0,Large,1.0,5.6835984159843065,Animal_Land_Solid_Large,3,0,1,3158558.0,3159475.0,917.0
137,choice,choice,12,2.0,Large,1.0,5.6835984159843065,Animal_Land_Pattern_Large,1,0,1,3159558.0,3160922.0,1364.0
137,choice,choice,12,2.0,Large,1.0,5.6835984159843065,Animal_Sea_Pattern_Large,0,0,1,3161111.0,3161404.0,293.0
137,choice,choice,12,2.0,Large,1.0,5.6835984159843065,fixation,-1,1,0,3161456.0,3161677.0,221.0
137,choice,choice,12,2.0,Large,1.0,5.6835984159843065,Animal_Sea_Pattern_Large,0,0,1,3161695.0,3162364.0,669.0
137,choice,choice,13,2.0,Object,1.0,11.508762750017922,Animal_Sea_Pattern_Large,0,0,0,3165542.0,3166894.0,1352.0
137,choice,choice,13,2.0,Object,1.0,11.508762750017922,Animal_Land_Solid_Large,3,0,0,3166950.0,3167178.0,228.0
137,choice,choice,13,2.0,Object,1.0,11.508762750017922,Animal_Land_Pattern_Large,1,0,0,3167223.0,3167715.0,492.0
137,choice,choice,13,2.0,Object,1.0,11.508762750017922,Object_Sea_Solid_Small,2,0,1,3167758.0,3167919.0,161.0
137,choice,choice,13,2.0,Object,1.0,11.508762750017922,Object_Sea_Pattern_Small,4,0,1,3167958.0,3169053.0,1095.0
137,choice,choice,13,2.0,Object,1.0,11.508762750017922,Object_Land_Solid_Small,5,0,1,3169169.0,3170815.0,1646.0
137,choice,choice,13,2.0,Object,1.0,11.508762750017922,Animal_Land_Solid_Large,3,0,0,3170947.0,3171176.0,229.0
137,choice,choice,13,2.0,Object,1.0,11.508762750017922,Object_Sea_Pattern_Small,4,0,1,3171218.0,3171993.0,775.0
137,choice,choice,13,2.0,Object,1.0,11.508762750017922,Object_Sea_Solid_Small,2,0,1,3172076.0,3175451.0,3375.0
