phase,event,trial_number,eyetracker_onset,eyetracker_offset,fix_start,fix_end,fix_duration_full,fix_duration_bounded,fix_x,fix_y,roi_x,roi_y,roi_content,thisRow.t,notes,onset,offset,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,Unnamed: 20
encoding,value,2,25437120,25443130,25439331.0,25439702.0,372.0,372.0,1572.0,875.2,1591.0,1269.0,Animal_Land_Solid_Small,,,25.376479999977164,31.385952833341435,1.0,Animal_Land_Solid_Small,3.0,,,,,,,,,,,
encoding,value,2,25437120,25443130,25439904.0,25440590.0,687.0,687.0,1557.1,859.4000000000001,1591.0,1269.0,Animal_Land_Solid_Small,,,25.376479999977164,31.385952833341435,1.0,Animal_Land_Solid_Small,3.0,,,,,,,,,,,
encoding,value,2,25437120,25443130,25440599.0,25441646.0,1048.0,1048.0,1585.0,916.3,1591.0,1269.0,Animal_Land_Solid_Small,,,25.376479999977164,31.385952833341435,1.0,Animal_Land_Solid_Small,3.0,,,,,,,,,,,
encoding,value,2,25437120,25443130,25441665.0,25442361.0,697.0,697.0,1574.4,810.2,1591.0,1269.0,Animal_Land_Solid_Small,,,25.376479999977164,31.385952833341435,1.0,Animal_Land_Solid_Small,3.0,,,,,,,,,,,
encoding,value,2,25437120,25443130,25442380.0,25443012.0,633.0,633.0,1591.7,892.5999999999999,1591.0,1269.0,Animal_Land_Solid_Small,,,25.376479999977164,31.385952833341435,1.0,Animal_Land_Solid_Small,3.0,,,,,,,,,,,
encoding,value,2,25437120,25443130,25443026.0,25443451.0,426.0,104.0,1574.0,812.8,1591.0,1269.0,Animal_Land_Solid_Small,,,25.376479999977164,31.385952833341435,1.0,Animal_Land_Solid_Small,3.0,,,,,,,,,,,
encoding,attention,2,25443130,25446140,25443461.0,25443806.0,346.0,346.0,1524.8,787.3,1591.0,1269.0,Animal_Land_Solid_Small,,,31.386114583321618,34.39557875000173,1.0,Animal_Land_Solid_Small,3.0,,,,,,,,,,,
encoding,attention,2,25443130,25446140,25443818.0,25444575.0,758.0,758.0,1599.0,798.3,1591.0,1269.0,Animal_Land_Solid_Small,,,31.386114583321618,34.39557875000173,1.0,Animal_Land_Solid_Small,3.0,,,,,,,,,,,
encoding,attention,2,25443130,25446140,25444595.0,25445252.0,658.0,658.0,1595.2,905.8,1591.0,1269.0,Animal_Land_Solid_Small,,,31.386114583321618,34.39557875000173,1.0,Animal_Land_Solid_Small,3.0,,,,,,,,,,,
encoding,attention,2,25443130,25446140,25445269.0,25446037.0,769.0,769.0,1593.5,823.0999999999999,1591.0,1269.0,Animal_Land_Solid_Small,,,31.386114583321618,34.39557875000173,1.0,Animal_Land_Solid_Small,3.0,,,,,,,,,,,
encoding,fixation,3,25446140,25447143,25446376.0,25447214.0,839.0,767.0,2057.4,1191.3,2249.0,891.0,Object_Land_Pattern_Small,,,34.39569529163418,35.39929649999249,1.0,Animal_Land_Pattern_Small,-8.0,,,,,,,,,,,
encoding,image,3,25447143,25448152,25447435.0,25448329.0,895.0,717.0,2182.2,923.4000000000001,2249.0,1269.0,Animal_Land_Pattern_Small,,,35.39938124999753,36.40781858333503,1.0,Animal_Land_Pattern_Small,-8.0,,,,,,,,,,,
encoding,value,3,25448152,25454162,25448347.0,25449251.0,905.0,905.0,2210.4,811.4000000000001,2249.0,1269.0,Animal_Land_Pattern_Small,,,36.40792141665588,42.41713362498558,1.0,Animal_Land_Pattern_Small,-8.0,,,,,,,,,,,
encoding,value,3,25448152,25454162,25449266.0,25449679.0,414.0,414.0,2208.6,869.8,2249.0,1269.0,Animal_Land_Pattern_Small,,,36.40792141665588,42.41713362498558,1.0,Animal_Land_Pattern_Small,-8.0,,,,,,,,,,,
