game,original_item,item,onset,offset
1,MINUS,MINUS,3.0,3.9
1,2,2,5.1,5.6
1,PLUS,PLUS,10.4,10.8
1,3,3,10.8,11.0
1,MINUS,MINUS,16.6,17.4
1,2,2,17.4,17.6
1,PLUS,PLUS,20.8,21.1
1,7,7,21.1,21.5
1,MINUS,MINUS,26.1,26.7
1,3,3,28.0,28.3
1,PLUS,PLUS,35.7,36.0
1,2,2,36.0,36.1
2,PLUS,PLUS,8.7,9.3
2,9,9,9.3,9.4
2,PLUS,PLUS,20.3,20.8
2,6,6,20.8,20.9
2,PLUS,PLUS,28.0,28.4
2,3,3,28.4,28.5
2,MINUS,MINUS,31.0,31.6
2,9,9,31.6,31.8
2,MINUS,MINUS,34.1,34.7
2,3,3,34.7,35.3
2,MINUS,MINUS,42.7,43.0
2,1,1,43.0,43.2
3,MINUS,MINUS,5.3,6.3
3,6,6,13.1,13.5
3,PLUS,PLUS,22.0,22.5
3,3,3,22.5,22.7
3,MINUS,MINUS,26.1,26.7
3,3,3,26.7,27.6
3,MINUS,MINUS,36.4,36.8
3,2,2,39.4,39.7
3,PLUS,PLUS,42.4,42.7
3,2,2,45.3,45.5
3,PLUS,PLUS,49.5,49.8
3,6,6,49.8,50.0
4,PLUS,PLUS,4.5,5.0
4,3,3,5.0,5.2
4,PLUS,PLUS,9.0,9.5
4,6,6,9.5,10.2
4,MINUS,MINUS,13.8,14.7
4,3,3,14.7,15.6
4,PLUS,PLUS,17.8,18.2
4,3,3,18.2,18.9
4,MINUS,MINUS,23.7,24.4
4,8,8,24.4,24.5
4,MINUS,MINUS,28.5,29.1
4,3,3,29.1,29.2
5,+,+,1.1,1.7
5,1,1,1.7,1.8
5,PLUS,PLUS,10.2,10.8
5,3,3,10.8,11.4
5,PLUS,PLUS,13.8,14.0
5,3,3,14.0,14.3
5,PLUS,PLUS,22.2,22.5
5,3,3,23.8,24.0
5,PLUS,PLUS,26.5,26.7
5,6,6,26.7,27.0
5,MINUS,MINUS,28.9,29.6
5,7,7,31.2,31.6
6,MINUS,MINUS,6.1,7.0
6,3,3,7.0,7.8
6,MINUS,MINUS,11.4,12.3
6,6,6,13.9,14.4
6,PLUS,PLUS,16.8,17.6
6,7,7,19.0,19.5
6,PLUS,PLUS,23.3,23.8
6,3,3,23.8,23.9
6,MINUS,MINUS,27.5,28.1
6,4,4,29.8,30.0
6,PLUS,PLUS,33.4,33.7
6,1,1,36.8,37.0
7,MINUS,MINUS,16.0,17.0
7,4,4,20.4,20.6
7,PLUS,PLUS,23.8,24.1
7,6,6,24.1,24.8
7,PLUS,PLUS,28.5,28.8
7,3,3,30.5,30.7
7,MINUS,MINUS,33.5,33.8
7,7,7,33.8,34.3
7,MINUS,MINUS,35.9,36.9
7,9,9,36.9,37.0
7,PLUS,PLUS,39.0,39.8
7,3,3,39.8,40.1
