thisRow.t,notes,phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
,,encoding,fixation,12.484956166648772,13.779523583332775,1,1,Object_Sea_Pattern_Large,-2,,,,,,,,,,,
,,encoding,image,13.779638124979101,14.839445583318593,1,1,Object_Sea_Pattern_Large,-2,,,,,,,,,,,
,,encoding,value,14.83958929165965,20.852226999995764,1,1,Object_Sea_Pattern_Large,-2,,,,,,,,,,,
,,encoding,attention,20.85232891663327,23.863343333330704,1,1,Object_Sea_Pattern_Large,-2,None,None,None,,,,,,,,
,,encoding,fixation,23.863522416650085,24.36749591663829,2,1,Animal_Land_Solid_Small,3,,,,,,,,,,,
,,encoding,image,24.367586416658014,25.37628829164896,2,1,Animal_Land_Solid_Small,3,,,,,,,,,,,
,,encoding,value,25.376479999977164,31.385952833341435,2,1,Animal_Land_Solid_Small,3,,,,,,,,,,,
,,encoding,attention,31.386114583321614,34.39557875000173,2,1,Animal_Land_Solid_Small,3,None,None,None,,,,,,,,
,,encoding,fixation,34.39569529163418,35.39929649999249,3,1,Animal_Land_Pattern_Small,-8,,,,,,,,,,,
,,encoding,image,35.39938124999753,36.40781858333503,3,1,Animal_Land_Pattern_Small,-8,,,,,,,,,,,
,,encoding,value,36.40792141665588,42.41713362498558,3,1,Animal_Land_Pattern_Small,-8,,,,,,,,,,,
,,encoding,attention,42.41727074998198,45.431068333331496,3,1,Animal_Land_Pattern_Small,-8,None,None,None,,,,,,,,
,,encoding,fixation,45.431183749984484,46.68491791663109,4,1,Object_Sea_Solid_Large,-2,,,,,,,,,,,
,,encoding,image,46.68503862500074,47.696593999979086,4,1,Object_Sea_Solid_Large,-2,,,,,,,,,,,
,,encoding,value,47.69668924997677,53.705559958325466,4,1,Object_Sea_Solid_Large,-2,,,,,,,,,,,
,,encoding,attention,53.70566679164767,56.715655916632386,4,1,Object_Sea_Solid_Large,-2,None,None,None,,,,,,,,
,,encoding,fixation,56.715772249997826,57.719580416654935,5,1,Animal_Sea_Solid_Large,3,,,,,,,,,,,
,,encoding,image,57.719690916652326,58.72983962498256,5,1,Animal_Sea_Solid_Large,3,,,,,,,,,,,
,,encoding,value,58.72994699998526,64.73896099999547,5,1,Animal_Sea_Solid_Large,3,,,,,,,,,,,
,,encoding,attention,64.73907108334242,67.74984641664196,5,1,Animal_Sea_Solid_Large,3,None,None,None,,,,,,,,
,,encoding,fixation,67.74995345831849,69.25366858334746,6,1,Object_Land_Pattern_Small,6,,,,,,,,,,,
,,encoding,image,69.25377683332772,70.26278941665078,6,1,Object_Land_Pattern_Small,6,,,,,,,,,,,
,,encoding,value,70.26290716664516,76.27277637500083,6,1,Object_Land_Pattern_Small,6,,,,,,,,,,,
,,encoding,attention,76.27291195833823,79.28325120834052,6,1,Object_Land_Pattern_Small,6,None,None,None,,,,,,,,
,,n-back,,,,1,1,,,,0,None,B,True,None,,,,,
,,n-back,,,,2,1,,,,1,None,C,False,None,,,,,
,,n-back,,,,3,1,,,,0,None,B,True,None,,,,,
,,n-back,,,,4,1,,,,1,None,Z,False,None,,,,,
,,n-back,,,,5,1,,,,0,None,B,True,None,,,,,
,,n-back,,,,6,1,,,,1,0.8724583750008605,Z,True,1,,,,,
,,n-back,,,,7,1,,,,1,None,C,False,None,,,,,
,,n-back,,,,8,1,,,,0,None,Z,True,None,,,,,
,,n-back,,,,9,1,,,,1,None,Z,False,None,,,,,
,,n-back,,,,10,1,,,,1,0.5538132500078063,Z,True,1,,,,,
,,n-back,,,,11,1,,,,1,None,X,False,None,,,,,
,,n-back,,,,12,1,,,,0,None,Z,True,None,,,,,
,,n-back,,,,13,1,,,,1,0.7263880833343137,X,True,1,,,,,
,,n-back,,,,14,1,,,,1,None,B,False,None,,,,,
