game,original_item,item,onset,offset
1,SEAL,Animal_Sea_Solid_Large,3.8,5.7
1,SUBMARINE,Object_Sea_Solid_Large,5.4,6.4
1,BIRD,Animal_Land_Solid_Small,6.4,7.3
1,LADYBUG,Animal_Land_Pattern_Small,7.3,8.7
1,HAT,Object_Land_Pattern_Small,10.5,11.2
1,BOAT,Object_Sea_Pattern_Large,12.4,12.8
2,HOUSE,Object_Land_Pattern_Large,3.3,4.1
2,SUBMARINE,Object_Sea_Solid_Large,9.2,10.3
2,FLOATIES,Object_Sea_Pattern_Small,14.2,14.9
2,FISH,Animal_Sea_Pattern_Small,29.6,29.9
2,LION,Animal_Land_Solid_Large,29.9,31.4
3,BOWTIE,Object_Land_Solid_Small,6.2,7.6
3,LADYBUG,Animal_Land_Pattern_Small,9.1,10.2
3,BOAT,Object_Sea_Pattern_Large,10.2,11.1
3,WHALE,Animal_Sea_Pattern_Large,17.3,18.2
4,SUBMARINE,Object_Sea_Solid_Large,2.9,3.9
4,HAT,Object_Land_Pattern_Small,7.2,7.8
4,SEAL,Animal_Sea_Solid_Large,11.0,11.7
4,BIRD,Animal_Land_Solid_Small,12.2,12.7
4,BOAT,Object_Sea_Pattern_Large,12.7,13.7
4,LADYBUG,Animal_Land_Pattern_Small,16.4,17.1
5,FISH,Animal_Sea_Pattern_Small,4.0,4.7
5,CRAB,Animal_Sea_Solid_Small,7.6,8.3
5,LION,Animal_Land_Solid_Large,8.9,9.8
5,FLOATIES,Object_Sea_Pattern_Small,18.3,19.1
5,HOUSE,Object_Land_Pattern_Large,29.0,29.4
5,COUCH,Object_Land_Solid_Large,30.4,30.8
6,BOAT,Object_Sea_Pattern_Large,2.6,3.3
6,SNORKEL,Object_Sea_Solid_Small,26.2,27.1
6,HAT,Object_Land_Pattern_Small,40.9,41.5
6,SUBMARINE,Object_Sea_Solid_Large,50.9,51.8
6,BIRD,Animal_Land_Solid_Small,59.6,60.0
7,CRAB,Animal_Sea_Solid_Small,2.8,3.7
7,HOUSE,Object_Land_Pattern_Large,4.9,5.4
7,COUCH,Object_Land_Solid_Large,14.2,14.8
7,FISH,Animal_Sea_Pattern_Small,22.3,22.8
