game,original_item,item,onset,offset
1,MINUS,MINUS,1.6,2.4
1,9,9,2.4,2.6
1,PLUS,PLUS,13.3,13.8
1,2,2,13.8,14.6
1,+,+,18.4,19.0
1,9,9,19.0,19.1
1,PLUS,PLUS,21.7,21.9
1,4,4,21.9,22.2
1,MINUS,MINUS,25.1,25.7
1,1,1,25.7,25.9
1,MINUS,MINUS,30.3,31.9
1,4,4,31.9,32.2
2,PLUS,PLUS,0.9,1.6
2,6,6,1.6,1.8
2,MINUS,MINUS,4.7,5.9
2,1,1,5.9,6.0
2,MINUS,MINUS,10.6,11.4
2,4,4,11.4,11.6
2,PLUS,PLUS,16.6,17.0
2,8,8,17.0,17.4
2,PLUS,PLUS,20.6,20.9
2,8,8,20.9,21.3
2,PLUS,PLUS,24.8,25.1
2,7,7,25.1,25.4
3,MINUS,MINUS,1.3,2.1
3,1,1,2.1,2.3
3,MINUS,MINUS,8.3,9.1
3,5,5,9.1,9.2
3,PLUS,PLUS,11.3,12.2
3,6,6,12.2,12.7
3,MINUS,MINUS,19.9,20.6
3,4,4,20.6,20.8
3,MINUS,MINUS,23.6,24.3
3,6,6,24.3,24.4
3,MINUS,MINUS,28.8,29.7
3,6,6,29.7,29.9
4,MINUS,MINUS,2.3,2.9
4,5,5,2.9,3.1
4,PLUS,PLUS,5.4,6.2
4,1,1,6.2,6.5
4,PLUS,PLUS,9.4,9.8
4,5,5,9.8,10.0
4,PLUS,PLUS,12.1,12.8
4,3,3,12.8,13.1
4,PLUS,PLUS,16.8,17.3
4,3,3,17.3,17.4
4,MINUS,MINUS,20.4,20.8
4,7,7,20.8,21.1
5,MINUS,MINUS,1.1,2.1
5,1,1,2.1,2.3
5,PLUS,PLUS,9.0,9.4
5,4,4,9.4,10.1
5,MINUS,MINUS,15.1,16.0
5,1,1,16.0,16.1
5,MINUS,MINUS,22.1,23.0
5,2,2,23.0,23.2
5,MINUS,MINUS,29.5,29.9
5,4,4,29.9,30.2
5,PLUS,PLUS,31.5,32.1
5,8,8,32.1,32.4
6,PLUS,PLUS,1.1,1.8
6,6,6,4.4,4.8
6,PLUS,PLUS,8.1,8.8
6,2,2,8.8,8.8
6,PLUS,PLUS,12.4,12.6
6,3,3,12.6,12.8
6,MINUS,MINUS,15.7,16.0
6,7,7,16.0,16.3
6,PLUS,PLUS,21.6,21.8
6,1,1,21.8,22.1
6,PLUS,PLUS,24.2,25.3
6,3,3,25.3,25.6
7,MINUS,MINUS,3.6,4.3
7,1,1,4.3,4.5
7,MINUS,MINUS,6.9,8.1
7,7,7,8.1,8.2
7,PLUS,PLUS,13.6,14.1
7,1,1,14.1,14.4
7,PLUS,PLUS,17.8,18.2
7,2,2,18.2,18.4
7,MINUS,MINUS,22.5,22.9
7,2,2,22.9,23.2
7,PLUS,PLUS,35.6,35.9
7,1,1,35.9,36.1
