game,recalled_item,recall_onset,recall_offset,recall_duration,window,total_fixations_all,total_fixations_images,fixations_at_target,fixations_at_other_images,fixations_center,fixations_none,proportion_at_target,proportion_at_other_images,total_fixation_duration_all,total_fixation_duration_images,duration_at_target,duration_at_other_images,duration_center,duration_none,proportion_duration_at_target,proportion_duration_at_other_images
1,Animal_Land_Solid_Large,9600,10600,1000,pre_recall,8,8,0,8,0,0,0.0,1.0,1331.0,1331.0,0.0,1331.0,0.0,0.0,0.0,1.0
1,Animal_Land_Solid_Large,9600,10600,1000,during_recall,2,2,1,1,0,0,0.5,0.5,662.0,662.0,297.0,365.0,0.0,0.0,0.4486404833836858,0.5513595166163142
1,Animal_Land_Solid_Small,10600,11600,1000,pre_recall,8,8,0,8,0,0,0.0,1.0,1331.0,1331.0,0.0,1331.0,0.0,0.0,0.0,1.0
1,Animal_Land_Solid_Small,10600,11600,1000,during_recall,3,1,0,1,2,0,0.0,1.0,676.0,312.0,0.0,312.0,364.0,0.0,0.0,1.0
1,Object_Land_Pattern_Small,12300,12800,500,pre_recall,2,1,0,1,1,0,0.0,1.0,1179.0,289.0,0.0,289.0,890.0,0.0,0.0,1.0
1,Object_Land_Pattern_Small,12300,12800,500,during_recall,2,1,0,1,1,0,0.0,1.0,641.0,141.0,0.0,141.0,500.0,0.0,0.0,1.0
1,Object_Sea_Pattern_Small,14200,15000,800,pre_recall,5,2,0,2,3,0,0.0,1.0,1310.0,290.0,0.0,290.0,1020.0,0.0,0.0,1.0
1,Object_Sea_Pattern_Small,14200,15000,800,during_recall,3,2,0,2,1,0,0.0,1.0,539.0,293.0,0.0,293.0,246.0,0.0,0.0,1.0
1,Object_Sea_Pattern_Large,15800,16400,600,pre_recall,4,2,0,2,2,0,0.0,1.0,420.0,290.0,0.0,290.0,130.0,0.0,0.0,1.0
1,Object_Sea_Pattern_Large,15800,16400,600,during_recall,2,2,0,2,0,0,0.0,1.0,614.0,614.0,0.0,614.0,0.0,0.0,0.0,1.0
2,Object_Land_Solid_Large,3400,4900,1500,pre_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Object_Land_Solid_Large,3400,4900,1500,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Object_Sea_Solid_Small,4900,6200,1300,pre_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Object_Sea_Solid_Small,4900,6200,1300,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Animal_Sea_Solid_Small,6200,7300,1100,pre_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Animal_Sea_Solid_Small,6200,7300,1100,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Animal_Land_Pattern_Large,7900,8600,700,pre_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Animal_Land_Pattern_Large,7900,8600,700,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Object_Land_Pattern_Large,9700,10200,500,pre_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Object_Land_Pattern_Large,9700,10200,500,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Animal_Sea_Pattern_Large,2400,3900,1500,pre_recall,6,5,4,1,1,0,0.8,0.2,2604.0,2342.0,2135.0,207.0,262.0,0.0,0.9116140051238258,0.08838599487617421
