game,recalled_item,recall_onset,recall_offset,recall_duration,window,total_fixations_all,total_fixations_images,fixations_at_target,fixations_at_other_images,fixations_center,fixations_none,proportion_at_target,proportion_at_other_images,total_fixation_duration_all,total_fixation_duration_images,duration_at_target,duration_at_other_images,duration_center,duration_none,proportion_duration_at_target,proportion_duration_at_other_images
1,Animal_Sea_Solid_Large,6000,6900,900,pre_recall,7,7,0,7,0,0,0.0,1.0,2461.0,2461.0,0.0,2461.0,0.0,0.0,0.0,1.0
1,Animal_Sea_Solid_Large,6000,6900,900,during_recall,2,2,0,2,0,0,0.0,1.0,636.0,636.0,0.0,636.0,0.0,0.0,0.0,1.0
1,Object_Land_Pattern_Small,8300,9100,800,pre_recall,4,4,2,2,0,0,0.5,0.5,1907.0,1907.0,874.0,1033.0,0.0,0.0,0.4583114840062926,0.5416885159937074
1,Object_Land_Pattern_Small,8300,9100,800,during_recall,1,1,0,1,0,0,0.0,1.0,1041.0,1041.0,0.0,1041.0,0.0,0.0,0.0,1.0
1,Object_Sea_Pattern_Large,10800,11300,500,pre_recall,2,2,0,2,0,0,0.0,1.0,1568.0,1568.0,0.0,1568.0,0.0,0.0,0.0,1.0
1,Object_Sea_Pattern_Large,10800,11300,500,during_recall,2,2,0,2,0,0,0.0,1.0,362.0,362.0,0.0,362.0,0.0,0.0,0.0,1.0
1,Animal_Sea_Solid_Small,20400,21100,700,pre_recall,8,7,0,7,0,1,0.0,1.0,3225.0,2980.0,0.0,2980.0,0.0,245.0,0.0,1.0
1,Animal_Sea_Solid_Small,20400,21100,700,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Animal_Land_Solid_Large,3100,4000,900,pre_recall,6,3,0,3,3,0,0.0,1.0,2231.0,1336.0,0.0,1336.0,895.0,0.0,0.0,1.0
2,Animal_Land_Solid_Large,3100,4000,900,during_recall,1,0,0,0,1,0,0.0,0.0,439.0,0.0,0.0,0.0,439.0,0.0,0.0,0.0
2,Animal_Sea_Solid_Large,5000,6000,1000,pre_recall,4,2,1,1,2,0,0.5,0.5,1901.0,1084.0,762.0,322.0,817.0,0.0,0.7029520295202952,0.29704797047970477
2,Animal_Sea_Solid_Large,5000,6000,1000,during_recall,2,1,0,1,1,0,0.0,1.0,512.0,191.0,0.0,191.0,321.0,0.0,0.0,1.0
2,Object_Land_Pattern_Small,7800,8400,600,pre_recall,2,2,1,1,0,0,0.5,0.5,1144.0,1144.0,881.0,263.0,0.0,0.0,0.7701048951048951,0.2298951048951049
2,Object_Land_Pattern_Small,7800,8400,600,during_recall,1,1,0,1,0,0,0.0,1.0,937.0,937.0,0.0,937.0,0.0,0.0,0.0,1.0
2,Animal_Sea_Pattern_Small,9800,10400,600,pre_recall,4,4,0,4,0,0,0.0,1.0,2019.0,2019.0,0.0,2019.0,0.0,0.0,0.0,1.0
2,Animal_Sea_Pattern_Small,9800,10400,600,during_recall,1,1,1,0,0,0,1.0,0.0,199.0,199.0,199.0,0.0,0.0,0.0,1.0,0.0
2,Object_Sea_Pattern_Small,30500,31700,1200,pre_recall,5,3,2,1,0,2,0.6666666666666666,0.3333333333333333,2055.0,1654.0,1405.0,249.0,0.0,401.0,0.8494558645707376,0.1505441354292624
2,Object_Sea_Pattern_Small,30500,31700,1200,during_recall,1,1,1,0,0,0,1.0,0.0,585.0,585.0,585.0,0.0,0.0,0.0,1.0,0.0
3,Object_Land_Solid_Small,3800,4900,1100,pre_recall,5,4,2,2,1,0,0.5,0.5,2342.0,1607.0,767.0,840.0,735.0,0.0,0.477286869943995,0.522713130056005
3,Object_Land_Solid_Small,3800,4900,1100,during_recall,2,2,1,1,0,0,0.5,0.5,1932.0,1932.0,223.0,1709.0,0.0,0.0,0.11542443064182195,0.884575569358178
3,Animal_Sea_Solid_Large,5400,6300,900,pre_recall,3,3,0,3,0,0,0.0,1.0,1216.0,1216.0,0.0,1216.0,0.0,0.0,0.0,1.0
3,Animal_Sea_Solid_Large,5400,6300,900,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Object_Land_Pattern_Small,12900,13600,700,pre_recall,8,8,2,6,0,0,0.25,0.75,2963.0,2963.0,988.0,1975.0,0.0,0.0,0.3334458319271009,0.6665541680728991
