phase,event,trial_number,eyetracker_onset,eyetracker_offset,fix_start,fix_end,fix_duration_full,fix_duration_bounded,fix_x,fix_y,roi_x,roi_y,roi_content,onset,offset,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,Unnamed: 18
encoding,fixation,1,24071865,24073135,24072109,24072270,162,162,1962.1,1091.0,1920.0,1080.0,fixation,15.55464016715996,16.82481620903127,1.0,Object_Sea_Pattern_Large,-3.0,,,,,,,,,,,
encoding,fixation,1,24071865,24073135,24072434,24072646,213,213,1950.5,1104.2,1920.0,1080.0,fixation,15.55464016715996,16.82481620903127,1.0,Object_Sea_Pattern_Large,-3.0,,,,,,,,,,,
encoding,fixation,1,24071865,24073135,24072656,24073128,473,473,1979.3,1075.4,1920.0,1080.0,fixation,15.55464016715996,16.82481620903127,1.0,Object_Sea_Pattern_Large,-3.0,,,,,,,,,,,
encoding,image,1,24073135,24074157,24073149,24073343,195,195,1996.0,1210.0,2249.0,891.0,Object_Sea_Pattern_Large,16.824953709030524,17.846512792166322,1.0,Object_Sea_Pattern_Large,-3.0,,,,,,,,,,,
encoding,image,1,24073135,24074157,24073370,24074547,1178,787,2272.4,1231.0,2249.0,891.0,Object_Sea_Pattern_Large,16.824953709030524,17.846512792166322,1.0,Object_Sea_Pattern_Large,-3.0,,,,,,,,,,,
encoding,value,1,24074157,24080176,24074565,24074831,267,267,2279.7,1134.9,2249.0,891.0,Object_Sea_Pattern_Large,17.846618000185117,23.86593733401969,1.0,Object_Sea_Pattern_Large,-3.0,,,,,,,,,,,
encoding,value,1,24074157,24080176,24074850,24075212,363,363,2269.1,1227.9,2249.0,891.0,Object_Sea_Pattern_Large,17.846618000185117,23.86593733401969,1.0,Object_Sea_Pattern_Large,-3.0,,,,,,,,,,,
encoding,value,1,24074157,24080176,24075360,24075708,349,349,2283.2,1147.7,2249.0,891.0,Object_Sea_Pattern_Large,17.846618000185117,23.86593733401969,1.0,Object_Sea_Pattern_Large,-3.0,,,,,,,,,,,
encoding,value,1,24074157,24080176,24075723,24077222,1500,1500,2266.9,1180.8,2249.0,891.0,Object_Sea_Pattern_Large,17.846618000185117,23.86593733401969,1.0,Object_Sea_Pattern_Large,-3.0,,,,,,,,,,,
encoding,value,1,24074157,24080176,24077234,24078369,1136,1136,2266.4,1139.5,2249.0,891.0,Object_Sea_Pattern_Large,17.846618000185117,23.86593733401969,1.0,Object_Sea_Pattern_Large,-3.0,,,,,,,,,,,
encoding,value,1,24074157,24080176,24078503,24080767,2265,1673,2276.5,1157.4,2249.0,891.0,Object_Sea_Pattern_Large,17.846618000185117,23.86593733401969,1.0,Object_Sea_Pattern_Large,-3.0,,,,,,,,,,,
encoding,attention,1,24080177,24083195,24080784,24081177,394,394,2226.7,1167.5,2249.0,891.0,Object_Sea_Pattern_Large,23.86610725009814,26.88392766704783,1.0,Object_Sea_Pattern_Large,-3.0,-3.0,1.0,1.4580616250168532,,,,,,,,
encoding,attention,1,24080177,24083195,24081350,24081959,610,610,2220.9,1154.3,2249.0,891.0,Object_Sea_Pattern_Large,23.86610725009814,26.88392766704783,1.0,Object_Sea_Pattern_Large,-3.0,-3.0,1.0,1.4580616250168532,,,,,,,,
encoding,attention,1,24080177,24083195,24081977,24082263,287,287,2311.3,1131.2,2249.0,891.0,Object_Sea_Pattern_Large,23.86610725009814,26.88392766704783,1.0,Object_Sea_Pattern_Large,-3.0,-3.0,1.0,1.4580616250168532,,,,,,,,
encoding,attention,1,24080177,24083195,24082431,24082610,180,180,2275.8,1160.2,2249.0,891.0,Object_Sea_Pattern_Large,23.86610725009814,26.88392766704783,1.0,Object_Sea_Pattern_Large,-3.0,-3.0,1.0,1.4580616250168532,,,,,,,,
encoding,attention,1,24080177,24083195,24082622,24083050,429,429,2302.2,1137.0,2249.0,891.0,Object_Sea_Pattern_Large,23.86610725009814,26.88392766704783,1.0,Object_Sea_Pattern_Large,-3.0,-3.0,1.0,1.4580616250168532,,,,,,,,
encoding,fixation,2,24083195,24084700,24083430,24083654,225,225,1953.2,1047.6,1920.0,1080.0,fixation,26.884145667077973,28.38931275019422,1.0,Animal_Land_Pattern_Small,-5.0,,,,,,,,,,,
encoding,fixation,2,24083195,24084700,24083836,24084075,240,240,1942.2,1091.6,1920.0,1080.0,fixation,26.884145667077973,28.38931275019422,1.0,Animal_Land_Pattern_Small,-5.0,,,,,,,,,,,
encoding,fixation,2,24083195,24084700,24084087,24084896,810,613,1942.5,1034.6,1920.0,1080.0,fixation,26.884145667077973,28.38931275019422,1.0,Animal_Land_Pattern_Small,-5.0,,,,,,,,,,,
encoding,image,2,24084700,24085712,24084933,24085132,200,200,2254.7,885.5999999999999,2249.0,1269.0,Animal_Land_Pattern_Small,28.389428000198677,29.40061354218051,1.0,Animal_Land_Pattern_Small,-5.0,,,,,,,,,,,
encoding,image,2,24084700,24085712,24085140,24085428,289,289,2267.6,852.0999999999999,2249.0,1269.0,Animal_Land_Pattern_Small,28.389428000198677,29.40061354218051,1.0,Animal_Land_Pattern_Small,-5.0,,,,,,,,,,,
encoding,image,2,24084700,24085712,24085588,24085899,312,124,2236.2,813.0999999999999,2249.0,1269.0,Animal_Land_Pattern_Small,28.389428000198677,29.40061354218051,1.0,Animal_Land_Pattern_Small,-5.0,,,,,,,,,,,
encoding,value,2,24085712,24091724,24085908,24086471,564,564,2229.9,773.2,2249.0,1269.0,Animal_Land_Pattern_Small,29.400734959170222,35.41257541719824,1.0,Animal_Land_Pattern_Small,-5.0,,,,,,,,,,,
encoding,value,2,24085712,24091724,24086619,24087300,682,682,2235.5,767.3,2249.0,1269.0,Animal_Land_Pattern_Small,29.400734959170222,35.41257541719824,1.0,Animal_Land_Pattern_Small,-5.0,,,,,,,,,,,
encoding,value,2,24085712,24091724,24087321,24087724,404,404,2257.2,915.4000000000001,2249.0,1269.0,Animal_Land_Pattern_Small,29.400734959170222,35.41257541719824,1.0,Animal_Land_Pattern_Small,-5.0,,,,,,,,,,,
encoding,value,2,24085712,24091724,24087908,24088039,132,132,2276.0,907.7,2249.0,1269.0,Animal_Land_Pattern_Small,29.400734959170222,35.41257541719824,1.0,Animal_Land_Pattern_Small,-5.0,,,,,,,,,,,
encoding,value,2,24085712,24091724,24088048,24088933,886,886,2257.6,873.5,2249.0,1269.0,Animal_Land_Pattern_Small,29.400734959170222,35.41257541719824,1.0,Animal_Land_Pattern_Small,-5.0,,,,,,,,,,,
encoding,value,2,24085712,24091724,24088950,24092358,3409,2774,2254.6,787.4000000000001,2249.0,1269.0,Animal_Land_Pattern_Small,29.400734959170222,35.41257541719824,1.0,Animal_Land_Pattern_Small,-5.0,,,,,,,,,,,
encoding,attention,2,24091724,24094742,24092369,24092510,142,142,2251.9,790.8,2249.0,1269.0,Animal_Land_Pattern_Small,35.412682875059545,38.43080883403309,1.0,Animal_Land_Pattern_Small,-5.0,-5.0,1.0,1.1772619169205427,,,,,,,,
encoding,attention,2,24091724,24094742,24092518,24093165,648,648,2214.0,777.3,2249.0,1269.0,Animal_Land_Pattern_Small,35.412682875059545,38.43080883403309,1.0,Animal_Land_Pattern_Small,-5.0,-5.0,1.0,1.1772619169205427,,,,,,,,
encoding,attention,2,24091724,24094742,24093305,24093612,308,308,2293.0,804.3,2249.0,1269.0,Animal_Land_Pattern_Small,35.412682875059545,38.43080883403309,1.0,Animal_Land_Pattern_Small,-5.0,-5.0,1.0,1.1772619169205427,,,,,,,,
encoding,attention,2,24091724,24094742,24093625,24094150,526,526,2285.6,855.5999999999999,2249.0,1269.0,Animal_Land_Pattern_Small,35.412682875059545,38.43080883403309,1.0,Animal_Land_Pattern_Small,-5.0,-5.0,1.0,1.1772619169205427,,,,,,,,
encoding,attention,2,24091724,24094742,24094158,24094595,438,438,2260.0,876.3,2249.0,1269.0,Animal_Land_Pattern_Small,35.412682875059545,38.43080883403309,1.0,Animal_Land_Pattern_Small,-5.0,-5.0,1.0,1.1772619169205427,,,,,,,,
encoding,fixation,3,24094742,24096247,24095003,24095222,220,220,1985.2,1050.3,2249.0,1269.0,Animal_Land_Pattern_Small,38.43097412516363,39.93606445915066,1.0,Object_Land_Solid_Large,-9.0,,,,,,,,,,,
encoding,fixation,3,24094742,24096247,24095386,24095686,301,301,2023.6,1070.1,2249.0,1269.0,Animal_Land_Pattern_Small,38.43097412516363,39.93606445915066,1.0,Object_Land_Solid_Large,-9.0,,,,,,,,,,,
encoding,fixation,3,24094742,24096247,24095697,24096071,375,375,1985.6,1048.8,2249.0,1269.0,Animal_Land_Pattern_Small,38.43097412516363,39.93606445915066,1.0,Object_Land_Solid_Large,-9.0,,,,,,,,,,,
