phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
encoding,fixation,23.520758583996212,24.28568850000738,1,1,Animal_Sea_Solid_Large,-2,,,,,,,,,,,
encoding,image,24.2858399169927,25.305787999997847,1,1,Animal_Sea_Solid_Large,-2,,,,,,,,,,,
encoding,value,25.305934917007107,31.322343917010585,1,1,Animal_Sea_Solid_Large,-2,,,,,,,,,,,
encoding,attention,31.322469250007998,34.342830084002344,1,1,Animal_Sea_Solid_Large,-2,-2,1,1.832426334003685,,,,,,,,
encoding,fixation,34.343004209018545,34.84872291699867,2,1,Animal_Sea_Pattern_Large,-1,,,,,,,,,,,
encoding,image,34.84882949999883,35.859937417000765,2,1,Animal_Sea_Pattern_Large,-1,,,,,,,,,,,
encoding,value,35.860054292017594,41.87218412500806,2,1,Animal_Sea_Pattern_Large,-1,,,,,,,,,,,
encoding,attention,41.872324958996614,44.889280292001786,2,1,Animal_Sea_Pattern_Large,-1,-1,1,2.000630791997537,,,,,,,,
encoding,fixation,44.889470791997155,45.64433275000192,3,1,Animal_Land_Solid_Small,4,,,,,,,,,,,
encoding,image,45.64445424999576,46.655209334014216,3,1,Animal_Land_Solid_Small,4,,,,,,,,,,,
encoding,value,46.65536500001326,52.66635345900431,3,1,Animal_Land_Solid_Small,4,,,,,,,,,,,
encoding,attention,52.66645179199986,55.68410850001965,3,1,Animal_Land_Solid_Small,4,+4,1,1.808630749990698,,,,,,,,
encoding,fixation,55.68426000000909,56.68934833400999,4,1,Object_Land_Solid_Small,-7,,,,,,,,,,,
encoding,image,56.68945525001618,57.70098154200241,4,1,Object_Land_Solid_Small,-7,,,,,,,,,,,
encoding,value,57.701106374996016,63.7134205000184,4,1,Object_Land_Solid_Small,-7,,,,,,,,,,,
encoding,attention,63.71353854201152,66.72963570899446,4,1,Object_Land_Solid_Small,-7,-7,1,1.4833260000159498,,,,,,,,
encoding,fixation,66.72977970901411,68.23470537501271,5,1,Object_Sea_Pattern_Small,2,,,,,,,,,,,
encoding,image,68.23482199999853,69.24568333401112,5,1,Object_Sea_Pattern_Small,2,,,,,,,,,,,
encoding,value,69.24578512500739,75.25659508400713,5,1,Object_Sea_Pattern_Small,2,,,,,,,,,,,
encoding,attention,75.2567080000008,78.32011645901366,5,1,Object_Sea_Pattern_Small,2,+2,1,1.8448516660137102,,,,,,,,
encoding,fixation,78.32026866701199,78.82523554199724,6,1,Object_Land_Pattern_Large,7,,,,,,,,,,,
encoding,image,78.82535337499576,79.83737350002048,6,1,Object_Land_Pattern_Large,7,,,,,,,,,,,
