game,original_item,item,onset,offset
1,,,0.5,1.5
1,MINUS,MINUS,24.6,27.3
1,1,1,27.3,27.6
1,PLUS,PLUS,34.2,34.4
1,4,4,34.2,34.4
1,PLUS,PLUS,40.5,40.8
1,7,7,40.5,40.8
1,PLUS,PLUS,44.0,44.2
1,7,7,44.0,44.2
1,MINUS,MINUS,53.6,53.7
1,2,2,53.7,53.9
2,PLUS,PLUS,1.8,2.6
2,8,8,1.8,2.6
2,MINUS,MINUS,17.2,17.4
2,4,4,17.4,17.5
2,PLUS,PLUS,25.1,25.5
2,1,1,25.1,25.5
2,PLUS,PLUS,30.1,30.3
2,3,3,30.1,30.3
2,MINUS,MINUS,36.5,36.9
2,2,2,36.9,37.3
2,MINUS,MINUS,45.0,45.4
2,1,1,45.4,45.5
3,MINUS,MINUS,1.7,2.5
3,2,2,2.5,2.7
3,PLUS,PLUS,8.4,8.9
3,8,8,8.4,8.9
3,PLUS,PLUS,18.1,18.7
3,9,9,18.1,18.7
3,PLUS,PLUS,22.2,22.5
3,9,9,22.2,22.5
3,MINUS,MINUS,26.2,26.9
3,8,8,26.9,27.2
3,MINUS,MINUS,32.4,32.7
3,2,2,32.7,33.0
4,PLUS,PLUS,2.4,3.3
4,4,4,3.3,3.5
4,PLUS,PLUS,12.1,12.6
4,9,9,12.1,12.6
4,PLUS,PLUS,17.3,17.8
4,8,8,17.3,17.8
4,MINUS,MINUS,21.4,21.8
4,4,4,21.8,22.1
4,MINUS,MINUS,30.4,30.9
4,9,9,30.9,31.0
4,PLUS,PLUS,40.9,41.3
4,9,9,40.9,41.3
5,MINUS,MINUS,1.7,3.0
5,3,3,3.0,3.2
5,PLUS,PLUS,7.7,8.3
5,8,8,7.7,8.3
5,MINUS,MINUS,15.0,15.7
5,2,2,15.7,15.9
5,MINUS,MINUS,24.3,25.1
5,9,9,25.1,25.7
5,MINUS,MINUS,41.2,41.8
5,2,2,41.8,41.8
5,MINUS,MINUS,48.4,48.7
5,8,8,48.7,48.9
6,PLUS,PLUS,2.8,3.4
6,1,1,2.8,3.4
6,MINUS,MINUS,11.0,11.9
6,6,6,11.9,12.2
6,PLUS,PLUS,15.6,16.0
6,1,1,15.6,16.0
6,MINUS,MINUS,21.8,22.5
6,6,6,22.5,22.7
6,PLUS,PLUS,30.0,30.5
6,1,1,30.0,30.5
6,MINUS,MINUS,42.7,43.3
6,6,6,43.3,43.5
7,PLUS,PLUS,5.1,5.6
7,8,8,5.1,5.6
7,PLUS,PLUS,9.7,10.4
7,9,9,9.7,10.4
7,MINUS,MINUS,16.2,17.0
7,2,2,17.0,17.8
7,MINUS,MINUS,30.2,30.9
7,2,2,30.9,31.0
7,MINUS,MINUS,34.3,35.1
7,9,9,35.1,35.3
7,PLUS,PLUS,39.1,39.5
7,8,8,39.1,39.5
