subject,game,trial_number,decision_label,feature_dim,option,choice,correct,prop_relevant,chance_relevant,delta_relevant
101,1,1,leave,animacy,Animal,0.0,1.0,1.0,0.4999999999999999,0.5000000000000001
101,1,4,take,animacy,Object,1.0,1.0,0.1344178082191781,0.4999999999999999,-0.3655821917808218
101,1,5,leave,texture,Pattern,0.0,1.0,0.8032440056417489,0.4999999999999999,0.3032440056417491
101,1,6,take,texture,Solid,1.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
101,1,7,take,environment,Sea,1.0,1.0,1.0,0.4999999999999999,0.5000000000000001
101,1,8,leave,size,Small,0.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
101,2,9,leave,environment,Land,0.0,1.0,0.6042910447761193,0.4999999999999999,0.1042910447761194
101,2,10,leave,size,Large,0.0,0.0,0.24841809233653608,0.4999999999999999,-0.25158190766346367
101,2,11,take,animacy,Animal,1.0,0.0,0.3590768437338834,0.4999999999999999,-0.1409231562661165
101,2,13,leave,size,Small,0.0,1.0,0.7242524916943522,0.4999999999999999,0.22425249169435232
101,2,14,leave,animacy,Object,0.0,1.0,0.6458481192334989,0.4999999999999999,0.14584811923349902
101,2,15,leave,texture,Solid,0.0,1.0,0.6102857142857142,0.4999999999999999,0.11028571428571432
101,2,16,take,texture,Pattern,1.0,1.0,0.3621586475942783,0.4999999999999999,-0.1378413524057217
101,3,17,take,environment,Land,1.0,1.0,0.7565860700108263,0.4999999999999999,0.2565860700108265
101,3,19,leave,size,Large,0.0,1.0,0.5601861645864183,0.4999999999999999,0.0601861645864185
101,3,20,take,animacy,Object,1.0,1.0,0.4148148148148148,0.4999999999999999,-0.0851851851851852
101,3,21,take,size,Small,1.0,1.0,0.8145380434782609,0.4999999999999999,0.3145380434782608
101,3,22,take,animacy,Animal,1.0,1.0,1.0,0.4999999999999999,0.5
101,3,23,take,texture,Pattern,1.0,1.0,0.524914821124361,0.4999999999999999,0.024914821124361
101,3,24,take,environment,Sea,1.0,1.0,0.7162482235907153,0.4999999999999999,0.21624822359071527
101,4,25,take,environment,Land,1.0,0.0,0.6434038721296713,0.4999999999999999,0.1434038721296712
101,4,26,take,animacy,Object,1.0,0.0,0.47248755549576205,0.4999999999999999,-0.0275124445042377
101,4,27,take,animacy,Animal,1.0,1.0,0.7525951557093427,0.4999999999999999,0.2525951557093425
101,4,28,take,size,Small,1.0,1.0,0.6883860414394765,0.4999999999999999,0.18838604143947651
101,4,29,leave,texture,Solid,0.0,1.0,0.3214563559981328,0.4999999999999999,-0.1785436440018671
101,4,30,take,size,Large,1.0,1.0,0.7636234961075725,0.4999999999999999,0.2636234961075725
101,4,31,take,environment,Sea,1.0,1.0,0.8235438081253059,0.4999999999999999,0.32354380812530587
101,4,32,take,texture,Pattern,1.0,1.0,0.5965743440233237,0.4999999999999999,0.09657434402332368
101,5,33,take,animacy,Object,1.0,1.0,0.489356496207487,0.4999999999999999,-0.010643503792512797
101,5,34,take,environment,Sea,1.0,1.0,0.6591380024865312,0.4999999999999999,0.1591380024865312
101,5,35,take,size,Large,1.0,1.0,0.3511077731881337,0.4999999999999999,-0.1488922268118662
101,5,36,take,texture,Pattern,1.0,0.0,0.49200913242009126,0.4999999999999999,-0.00799086757990869
101,6,41,take,environment,Land,1.0,1.0,0.3397230320699708,0.4999999999999999,-0.1602769679300291
101,6,42,take,animacy,Animal,1.0,1.0,0.6874999999999999,0.4999999999999999,0.18750000000000008
101,6,43,leave,size,Large,0.0,1.0,0.8993506493506493,0.4999999999999999,0.3993506493506493
101,6,44,take,texture,Solid,1.0,1.0,0.4167519036254119,0.4999999999999999,-0.083248096374588
101,6,45,leave,size,Small,0.0,0.0,0.1988825128360012,0.4999999999999999,-0.30111748716399866
101,6,46,take,environment,Sea,1.0,0.0,0.6043956043956042,0.4999999999999999,0.1043956043956044
101,6,47,take,animacy,Object,1.0,0.0,0.4778780068728521,0.4999999999999999,-0.0221219931271477
101,6,48,take,texture,Pattern,1.0,0.0,1.0,0.4999999999999999,0.5
101,7,49,leave,texture,Solid,0.0,1.0,0.4221812698944547,0.4999999999999999,-0.07781873010554524
101,7,50,leave,size,Small,0.0,1.0,0.7368597254770672,0.4999999999999999,0.2368597254770673
101,7,51,leave,texture,Pattern,0.0,1.0,0.5757436369211898,0.4999999999999999,0.0757436369211898
101,7,52,leave,environment,Land,0.0,1.0,0.2159744408945687,0.4999999999999999,-0.2840255591054313
101,7,53,leave,size,Large,0.0,1.0,0.4801126363956352,0.4999999999999999,-0.019887363604364605
101,7,54,leave,environment,Sea,0.0,1.0,0.7790130151843817,0.4999999999999999,0.27901301518438176
101,7,55,leave,animacy,Animal,0.0,1.0,0.6076430097317824,0.4999999999999999,0.1076430097317826
101,7,56,leave,animacy,Object,0.0,1.0,0.9999999999999999,0.4999999999999999,0.5
103,1,1,leave,environment,Sea,0.0,1.0,0.8931428571428571,0.4999999999999999,0.39314285714285724
103,1,2,take,size,Large,1.0,1.0,0.7825510681428348,0.4999999999999999,0.2825510681428349
103,1,3,leave,environment,Land,0.0,0.0,0.8383858662919093,0.4999999999999999,0.3383858662919093
103,1,4,take,animacy,Object,1.0,0.0,0.19212130686259182,0.4999999999999999,-0.307878693137408
103,1,5,leave,texture,Solid,0.0,1.0,0.4146468144044321,0.4999999999999999,-0.08535318559556793
103,1,6,take,size,Small,1.0,0.0,0.0622431004110393,0.4999999999999999,-0.43775689958896064
103,1,7,take,texture,Pattern,1.0,1.0,0.467511013215859,0.4999999999999999,-0.03248898678414089
103,1,8,take,animacy,Animal,1.0,1.0,1.0,0.4999999999999999,0.5000000000000001
103,2,9,take,animacy,Animal,1.0,1.0,0.42736987927963577,0.4999999999999999,-0.07263012072036401
103,2,10,leave,texture,Pattern,0.0,1.0,0.7974597798475868,0.4999999999999999,0.2974597798475867
103,2,11,take,environment,Sea,1.0,0.0,0.28543472183393903,0.4999999999999999,-0.21456527816606089
103,2,12,leave,size,Small,0.0,1.0,0.5178599041286531,0.4999999999999999,0.0178599041286532
103,2,13,take,texture,Solid,1.0,0.0,0.1630608974358974,0.4999999999999999,-0.3369391025641024
103,2,14,leave,environment,Land,0.0,1.0,1.0,0.4999999999999999,0.5
103,2,15,leave,animacy,Object,0.0,1.0,0.4252199413489736,0.4999999999999999,-0.0747800586510263
103,2,16,take,size,Large,1.0,0.0,0.6082750280729032,0.4999999999999999,0.1082750280729032
103,3,17,take,animacy,Animal,1.0,1.0,0.763098379193366,0.4999999999999999,0.263098379193366
103,3,18,take,environment,Sea,1.0,1.0,0.6137239271954298,0.4999999999999999,0.11372392719542979
103,3,19,leave,size,Small,0.0,0.0,0.1626709287870715,0.4999999999999999,-0.3373290712129284
103,3,20,take,texture,Pattern,1.0,1.0,0.7084131684375544,0.4999999999999999,0.2084131684375545
103,3,21,leave,texture,Solid,0.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
103,3,22,take,animacy,Object,1.0,1.0,0.6916712630998345,0.4999999999999999,0.1916712630998346
103,3,23,take,environment,Land,1.0,1.0,0.3015189055262307,0.4999999999999999,-0.1984810944737692
103,3,24,take,size,Large,1.0,1.0,0.8191022612217346,0.4999999999999999,0.3191022612217348
103,4,25,take,texture,Pattern,1.0,0.0,0.4374914977554074,0.4999999999999999,-0.0625085022445925
103,4,26,leave,environment,Land,0.0,0.0,0.4654435340220876,0.4999999999999999,-0.034556465977912315
103,4,27,take,size,Large,1.0,1.0,0.7789423535016674,0.4999999999999999,0.27894235350166746
103,4,28,leave,texture,Solid,0.0,0.0,0.5129189944134078,0.4999999999999999,0.01291899441340788
103,4,29,take,animacy,Animal,1.0,1.0,0.7526401648493173,0.4999999999999999,0.2526401648493174
103,4,30,leave,environment,Sea,0.0,1.0,0.9787234042553191,0.4999999999999999,0.47872340425531923
103,4,31,leave,size,Small,0.0,1.0,0.6228986824170831,0.4999999999999999,0.12289868241708311
103,4,32,take,animacy,Object,1.0,0.0,0.2860618700034758,0.4999999999999999,-0.21393812999652412
103,5,33,take,texture,Solid,1.0,0.0,0.5739554396507739,0.4999999999999999,0.07395543965077389
103,5,34,leave,size,Small,0.0,1.0,0.5822768265586198,0.4999999999999999,0.08227682655861979
103,5,35,leave,texture,Pattern,0.0,0.0,0.8278035832780358,0.4999999999999999,0.32780358327803594
103,5,36,leave,animacy,Animal,0.0,1.0,0.629486799169386,0.4999999999999999,0.12948679916938607
103,5,37,leave,size,Large,0.0,0.0,0.7871764323621792,0.4999999999999999,0.28717643236217916
103,5,38,leave,environment,Sea,0.0,1.0,0.1897415347625726,0.4999999999999999,-0.3102584652374272
103,6,41,leave,texture,Pattern,0.0,1.0,0.5818532485103198,0.4999999999999999,0.0818532485103198
103,6,42,leave,size,Large,0.0,1.0,0.8698159237081392,0.4999999999999999,0.3698159237081393
103,6,43,take,size,Small,1.0,1.0,0.5777922440249232,0.4999999999999999,0.0777922440249233
103,6,44,take,environment,Land,1.0,1.0,0.3106349964191931,0.4999999999999999,-0.1893650035808067
103,6,45,leave,animacy,Animal,0.0,1.0,0.5747078464106844,0.4999999999999999,0.07470784641068451
103,6,47,leave,texture,Solid,0.0,0.0,0.5710029791459781,0.4999999999999999,0.07100297914597808
103,6,48,leave,environment,Sea,0.0,1.0,0.7489764884781847,0.4999999999999999,0.24897648847818468
103,7,49,leave,animacy,Animal,0.0,1.0,1.0,0.4999999999999999,0.5000000000000001
103,7,50,leave,environment,Land,0.0,1.0,0.6551351351351351,0.4999999999999999,0.1551351351351351
103,7,51,take,texture,Solid,1.0,0.0,0.6483794733288318,0.5,0.1483794733288318
103,7,52,leave,size,Large,0.0,1.0,0.9999999999999999,0.4999999999999999,0.5
103,7,53,take,environment,Sea,1.0,0.0,0.3939335018471709,0.5,-0.106066498152829
103,7,54,leave,texture,Pattern,0.0,1.0,0.3059726393059726,0.4999999999999999,-0.1940273606940272
103,7,55,leave,animacy,Object,0.0,1.0,0.6709919010711486,0.4999999999999999,0.17099190107114876
103,7,56,leave,size,Small,0.0,1.0,0.2546637744034706,0.4999999999999999,-0.2453362255965293
104,1,5,take,animacy,Object,1.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
104,2,9,leave,animacy,Animal,0.0,0.0,0.718978102189781,0.4999999999999999,0.21897810218978103
104,2,10,take,environment,Land,1.0,1.0,1.0,0.4999999999999999,0.5000000000000001
104,2,12,leave,texture,Solid,0.0,1.0,0.0247131509267431,0.4999999999999999,-0.4752868490732567
104,2,13,take,size,Small,1.0,1.0,1.0,0.4999999999999999,0.5
104,2,14,take,animacy,Object,1.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
104,2,15,take,size,Large,1.0,1.0,0.1069767441860465,0.4999999999999999,-0.3930232558139534
104,2,16,take,texture,Pattern,1.0,1.0,1.0,0.4999999999999999,0.5000000000000001
104,3,17,take,animacy,Object,1.0,1.0,1.0,0.4999999999999999,0.5000000000000001
104,3,20,leave,environment,Sea,0.0,1.0,0.5563380281690141,0.4999999999999999,0.056338028169014204
104,3,21,leave,size,Large,0.0,1.0,0.1694352159468438,0.4999999999999999,-0.33056478405315604
104,3,22,take,texture,Solid,1.0,1.0,1.0,0.4999999999999999,0.5
104,4,25,take,size,Small,1.0,1.0,1.0,0.4999999999999999,0.5
104,4,28,take,environment,Land,1.0,1.0,0.2496371552975326,0.4999999999999999,-0.25036284470246717
104,5,33,take,texture,Pattern,1.0,0.0,1.0,0.4999999999999999,0.5000000000000001
104,5,34,take,animacy,Animal,1.0,0.0,1.0,0.4999999999999999,0.5000000000000001
104,5,35,leave,size,Large,0.0,1.0,1.0,0.4999999999999999,0.5000000000000001
104,5,37,leave,size,Small,0.0,1.0,1.0,0.4999999999999999,0.5000000000000001
104,5,38,leave,environment,Land,0.0,1.0,1.0,0.4999999999999999,0.5000000000000001
104,5,39,take,texture,Solid,1.0,0.0,0.0,0.4999999999999999,-0.4999999999999999
104,6,41,leave,texture,Solid,0.0,1.0,0.3958333333333333,0.4999999999999999,-0.10416666666666671
104,6,42,take,size,Small,1.0,0.0,0.7395833333333333,0.4999999999999999,0.2395833333333335
104,6,43,take,animacy,Object,1.0,0.0,0.8375690607734806,0.4999999999999999,0.3375690607734808
104,6,44,take,environment,Sea,1.0,0.0,0.0,0.4999999999999999,-0.4999999999999999
104,6,48,leave,environment,Land,0.0,1.0,0.4628469113697404,0.4999999999999999,-0.03715308863025951
104,7,49,take,animacy,Object,1.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
104,7,50,take,size,Small,1.0,0.0,1.0,0.4999999999999999,0.5000000000000001
104,7,51,take,size,Large,1.0,1.0,1.0,0.4999999999999999,0.5000000000000001
104,7,52,take,environment,Sea,1.0,1.0,0.2863284608770421,0.4999999999999999,-0.2136715391229578
104,7,53,take,texture,Solid,1.0,1.0,1.0,0.4999999999999999,0.5
104,7,54,take,animacy,Animal,1.0,1.0,0.4382022471910112,0.4999999999999999,-0.061797752808988804
104,7,55,take,texture,Pattern,1.0,1.0,0.6057692307692307,0.4999999999999999,0.10576923076923078
104,7,56,take,environment,Land,1.0,1.0,0.3726658720699245,0.4999999999999999,-0.1273341279300754
105,1,1,take,size,Large,1.0,0.0,0.9210822998872603,0.4999999999999999,0.42108229988726037
105,1,2,leave,animacy,Object,0.0,0.0,1.0,0.4999999999999999,0.5000000000000001
105,1,3,take,environment,Sea,1.0,1.0,0.575,0.5,0.0749999999999999
105,1,4,leave,environment,Land,0.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
105,1,5,take,texture,Solid,1.0,0.0,0.8271028037383178,0.4999999999999999,0.3271028037383179
105,1,6,take,texture,Pattern,1.0,0.0,0.403869407496977,0.4999999999999999,-0.0961305925030229
105,1,7,leave,animacy,Animal,0.0,1.0,0.2786885245901639,0.4999999999999999,-0.221311475409836
105,1,8,take,size,Small,1.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
105,2,9,take,size,Large,1.0,1.0,0.6437699680511182,0.5,0.1437699680511182
105,2,10,leave,texture,Solid,0.0,0.0,0.7433808553971486,0.4999999999999999,0.2433808553971486
105,2,12,leave,animacy,Animal,0.0,0.0,0.5376712328767124,0.5,0.0376712328767123
105,2,13,leave,size,Small,0.0,0.0,0.0,0.4999999999999999,-0.4999999999999999
105,2,14,take,environment,Sea,1.0,1.0,0.6831460674157304,0.4999999999999999,0.18314606741573042
105,2,16,take,animacy,Object,1.0,0.0,0.0,0.4999999999999999,-0.4999999999999999
105,3,17,take,animacy,Animal,1.0,1.0,0.7253218884120172,0.4999999999999999,0.22532188841201709
105,3,18,leave,texture,Pattern,0.0,1.0,0.713527851458886,0.4999999999999999,0.213527851458886
105,3,19,take,texture,Solid,1.0,1.0,0.2015384615384615,0.4999999999999999,-0.2984615384615384
105,3,20,leave,size,Small,0.0,1.0,0.5656324582338902,0.4999999999999999,0.06563245823389019
105,3,21,take,environment,Land,1.0,0.0,0.0,0.4999999999999999,-0.4999999999999999
105,3,22,take,environment,Sea,1.0,1.0,0.316317228805834,0.4999999999999999,-0.18368277119416593
105,3,23,take,animacy,Object,1.0,0.0,1.0,0.4999999999999999,0.5000000000000001
105,3,24,take,size,Large,1.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
105,4,25,take,environment,Sea,1.0,1.0,0.3636363636363636,0.4999999999999999,-0.1363636363636363
105,4,26,take,texture,Solid,1.0,1.0,0.1508264462809917,0.4999999999999999,-0.3491735537190082
105,4,27,leave,size,Small,0.0,0.0,0.0,0.4999999999999999,-0.4999999999999999
105,4,28,take,animacy,Object,1.0,1.0,1.0,0.4999999999999999,0.5000000000000001
105,4,30,take,texture,Pattern,1.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
