game,original_item,item,onset,offset
1,HOUSE,Object_Land_Pattern_Large,2.4,4.1
1,WHALE,Animal_Sea_Pattern_Large,34.3,35.3
1,FISH,Animal_Sea_Pattern_Small,38.4,38.9
2,HOUSE,Object_Land_Pattern_Large,2.4,4.4
2,ZEBRA,Animal_Land_Pattern_Large,6.2,7.2
2,LION,Animal_Land_Solid_Large,9.9,10.6
3,SUBMARINE,Object_Sea_Solid_Large,3.8,4.9
3,SNORKEL,Object_Sea_Solid_Small,9.0,9.8
3,SEAL,Animal_Sea_Solid_Large,10.7,11.3
3,HOUSE,Object_Land_Pattern_Large,15.0,15.6
4,WHALE,Animal_Sea_Pattern_Large,2.3,4.2
4,HOUSE,Object_Land_Pattern_Large,4.2,4.7
4,SUBMARINE,Object_Sea_Solid_Large,11.4,12.3
5,SNORKEL,Object_Sea_Solid_Small,2.3,3.1
5,SEAL,Animal_Sea_Solid_Large,6.8,7.7
5,HOUSE,Object_Land_Pattern_Large,20.7,21.5
5,WHALE,Animal_Sea_Pattern_Large,23.1,24.0
5,COUCH,Object_Land_Solid_Large,29.7,30.4
6,SUBMARINE,Object_Sea_Solid_Large,1.8,3.0
6,CRAB,Animal_Sea_Solid_Small,11.9,12.5
6,FISH,Animal_Sea_Pattern_Small,15.9,17.1
6,SNORKEL,Object_Sea_Solid_Small,19.2,20.1
6,BOWTIE,Object_Land_Solid_Small,23.2,24.0
7,SUBMARINE,Object_Sea_Solid_Large,1.8,3.0
7,WHALE,Animal_Sea_Pattern_Large,4.4,5.3
7,LADYBUG,Animal_Land_Pattern_Small,11.0,11.9
7,HAT,Object_Land_Pattern_Small,12.9,13.4
