game,original_item,item,onset,offset
1,PLUS,PLUS,11.0,11.3
1,3,3,11.0,11.3
1,PLUS,PLUS,22.7,22.7
1,8,8,22.7,23.4
1,MINUS,MINUS,30.8,31.3
1,1,1,31.3,31.9
1,MINUS,MINUS,38.3,38.9
1,3,3,38.9,39.7
1,PLUS,PLUS,50.4,51.0
1,1,1,50.4,51.0
1,PLUS,PLUS,57.1,57.5
1,1,1,57.1,57.5
2,PLUS,PLUS,11.1,11.4
2,4,4,11.1,11.4
2,PLUS,PLUS,19.3,20.0
2,8,8,19.3,20.0
2,PLUS,PLUS,23.8,23.9
2,4,4,23.8,23.9
2,PLUS,PLUS,29.2,29.3
2,3,3,29.2,29.6
2,PLUS,PLUS,33.4,33.7
2,8,8,33.7,34.0
2,MINUS,MINUS,38.5,39.0
2,1,1,39.0,39.4
3,PLUS,PLUS,6.0,7.5
3,3,3,7.5,7.6
3,MINUS,MINUS,14.8,15.6
3,5,5,15.6,15.7
3,PLUS,PLUS,20.7,21.0
3,5,5,21.0,21.3
3,MINUS,MINUS,25.3,25.9
3,2,2,25.9,26.1
3,PLUS,PLUS,28.6,29.9
3,4,4,29.9,30.8
3,MINUS,MINUS,36.2,36.6
3,2,2,36.6,38.1
4,PLUS,PLUS,2.0,3.0
4,9,9,3.0,3.1
4,PLUS,PLUS,8.9,10.2
4,9,9,10.2,10.4
4,PLUS,PLUS,19.6,20.4
4,9,9,20.4,20.5
4,MINUS,MINUS,24.7,25.1
4,4,4,25.1,25.5
4,MINUS,MINUS,29.8,30.3
4,2,2,30.3,31.2
4,MINUS,MINUS,34.3,34.7
4,1,1,34.7,35.1
5,PLUS,PLUS,1.3,4.6
5,4,4,4.6,5.2
5,MINUS,MINUS,9.7,10.8
5,8,8,10.8,11.9
5,PLUS,PLUS,18.1,19.1
5,5,5,18.1,19.1
5,MINUS,MINUS,23.6,24.4
5,4,4,25.5,25.9
5,PLUS,PLUS,30.4,31.3
5,3,3,31.3,31.4
5,MINUS,MINUS,35.2,35.6
5,5,5,35.6,35.8
6,MINUS,MINUS,5.1,5.8
6,8,8,5.8,6.0
6,MINUS,MINUS,11.3,11.9
6,2,2,11.9,12.0
6,PLUS,PLUS,14.0,14.3
6,2,2,14.0,14.3
6,PLUS,PLUS,17.7,18.6
6,3,3,17.7,18.6
6,MINUS,MINUS,20.3,21.4
6,4,4,21.4,21.6
6,MINUS,MINUS,25.7,26.1
6,5,5,26.1,26.4
7,PLUS,PLUS,1.7,2.9
7,2,2,2.9,3.0
7,MINUS,MINUS,5.3,6.8
7,4,4,6.8,7.1
7,PLUS,PLUS,10.6,11.5
7,3,3,11.5,11.7
7,PLUS,PLUS,15.6,16.0
7,1,1,16.0,16.2
7,PLUS,PLUS,25.0,25.5
7,2,2,25.5,25.7
7,MINUS,MINUS,28.7,29.2
7,3,3,29.2,29.7
