combo,rep,seed_fit,seed_sim,noise_param,d_true,theta_true,sigma_true,mu_true,d_hat,theta_hat,sigma_hat,mu_hat,d_true_per_s,sigma_true_per_s,d_hat_per_s,sigma_hat_per_s,fit_fval,elapsed_s,hit_d_min,hit_d_max,hit_theta_min,hit_theta_max,hit_sigma_min,hit_sigma_max
7,1,70224,71223,mu,0.0007025706385785,0.0664138054208093,0.0519200363042629,73.90009410200977,0.0005098655867179,0.9823601497358472,0.0509749667000664,99.97726465163626,0.702570638578536,1.6418557092010182,0.5098655867179918,1.611969984234472,3434.4807123564665,100.13696098327635,0,0,0,0,0,1
9,1,90224,91223,mu,0.0004360227233952,0.2054556693663789,0.0038782397033571,8.894581624457969,0.0003722540687275,0.1880933818367035,0.0114794165085352,30.83758506058863,0.4360227233952147,0.122640707747045,0.3722540687275231,0.3630110237670896,3951.786599859353,168.1313829421997,0,0,0,0,0,0
10,1,100224,101223,mu,0.0006022618948821,0.6275607101073433,0.0057901948060851,9.61408127475457,0.0005618343052073,0.5771487961052256,0.0079378924457545,14.128529305140429,0.6022618948821966,0.1831020368330599,0.5618343052073017,0.2510181995002903,4468.943946898226,190.73552989959717,0,0,0,0,0,0
6,1,60224,61223,mu,0.000420909776557,0.4612668496508804,0.0133774797411009,31.7822975045254,0.0004867545541961,0.4096530724429094,0.0112485628114283,23.109311899513393,0.420909776557095,0.4230330533463847,0.4867545541961884,0.3557107888758057,4073.195451388155,245.55677676200867,0,0,0,0,0,0
11,1,110224,111223,mu,0.0001061551114112,0.2770013078690436,0.0087966639617389,82.8661365882165,0.000157580593652,0.1032360944583822,0.0009870581775823,6.26383081004213,0.1061551114112137,0.2781749393021544,0.1575805936520314,0.0312135202425509,3985.9171690308135,340.54930210113525,0,0,0,0,0,0
1,1,10224,11223,mu,0.0002315814274157,0.4622878763017496,0.0011485199697709,4.959464938909528,0.0002234194713251,0.4208017077516724,0.0013863336237033,6.205070737481841,0.2315814274157423,0.0363193904266408,0.2234194713251453,0.0438397184777729,4398.43826460346,412.8161859512329,0,0,0,0,0,0
13,1,130224,131223,mu,0.0004451262355775,0.4178774729064319,0.0019631414333874,4.4103026882708205,0.0004929785184151,0.4412224336133939,0.002032820437022,4.123547702559956,0.445126235577527,0.0620799829855202,0.4929785184151051,0.0642834265512844,4223.929789630979,289.12833976745605,0,0,0,0,0,0
15,1,150224,151223,mu,0.0003040423666991,0.5641958968385586,0.0008444879046509,2.777533650389856,0.000318590990783,0.5935061267538052,0.0016879794240596,5.298264774879454,0.3040423666991266,0.0267050523516025,0.3185909907830272,0.0533785962352774,4533.696798959372,224.46208596229553,0,0,0,0,0,0
17,1,170224,171223,mu,0.0007158376176321,0.4016916973613493,0.0237934058199025,33.23855191992721,0.0005469951327707,0.4344087678214953,0.0272847283921812,49.88111732178202,0.7158376176321296,0.7524135568359811,0.5469951327707449,0.8628188705835668,3746.59484803978,72.489905834198,0,0,0,0,0,0
16,1,160224,161223,mu,0.0001819199840135,0.4970757792275045,0.0012221116476892,6.717852655476106,0.0001365760824627,0.6386670396419903,0.0070262868277406,51.44595379395829,0.1819199840135,0.0386465636171932,0.1365760824627926,0.2221906986929966,4493.9478282068985,177.57988905906677,0,0,0,0,0,0
12,1,120224,121223,mu,3.089791699475641e-05,0.9408199439315572,0.0001798990011165,5.822366638731184,2.9994931425140688e-05,0.9897346168799772,0.0002417560538575,8.059896868274272,0.0308979169947564,0.0056889059231748,0.0299949314251406,0.0076449976832432,4736.117793523086,742.7185788154602,0,0,0,1,0,0
19,1,190224,191223,mu,0.0003965064507562,0.9860964477853338,0.0006157346501254,1.5528994520796044,0.0004125064965,0.9898217627999834,0.0025995869566747,6.3019297362132995,0.3965064507562731,0.0194712392868328,0.4125064965000355,0.0822061575875763,4736.571136491006,494.0791883468628,0,0,0,1,0,0
20,1,200224,201223,mu,0.0001087251645712,0.1002344826391259,0.0002025895142074,1.863317613786258,0.0001100890803243,0.010061072846638,0.0001100890804414,1.000000001063709,0.1087251645712733,0.0064064429496262,0.1100890803243109,0.0034813223970836,4059.435632427387,536.6317310333252,0,0,1,0,1,0
4,1,40224,41223,mu,2.337456952027381e-05,0.93026594381481,6.72492457058803e-05,2.877026062343182,2.2298683274291817e-05,0.9899125023208672,0.0001387973967844,6.224466040308857,0.0233745695202738,0.0021266078735887,0.0222986832742918,0.0043891590714093,4705.613695238785,1023.1170568466188,0,0,0,1,0,0
24,1,240224,241223,mu,0.0001463690591513,0.2363160486548398,0.0002826380946682,1.9309961839405951,0.0001497280687758,0.2901875285075321,0.0003590552101565,2.398048763282935,0.1463690591513722,0.0089378013268204,0.1497280687758066,0.0113543226984516,4233.013030634041,233.6400420665741,0,0,0,0,0,0
23,1,230224,231223,mu,9.898694865079392e-05,0.7920873236853868,0.0015624630922765,15.784536381544704,0.0001042844547119,0.7200811801135364,0.0001923863467918,1.8448228676382323,0.0989869486507939,0.0494094213154375,0.1042844547119597,0.0060837904658113,4753.739995222237,956.285671710968,0,0,0,0,0,0
25,1,250224,251223,mu,2.337092893609157e-05,0.3936099012576464,0.0001185471550944,5.072419475435431,2.3342349842579925e-05,0.392253468304743,6.221664537263855e-05,2.665397690987654,0.0233709289360915,0.0037487902023169,0.0233423498425799,0.0019674630775251,4838.883864484328,923.8596167564392,0,0,0,0,0,0
28,1,280224,281223,mu,0.0002860794461791,0.437578022268938,0.0106518340451865,37.23383202620944,0.0002146372354421,0.7206784662521608,0.0148686284181334,69.27329448453662,0.2860794461791779,0.3368405684091436,0.2146372354421868,0.4701873148400805,4135.669365047873,268.6873781681061,0,0,0,0,0,0
8,1,80224,81223,mu,3.573952659844369e-05,0.0935961306513562,9.638105656381552e-05,2.6967636602106677,3.468553027113447e-05,0.1535058841581806,0.0005291115146268,15.254531514751545,0.0357395265984436,0.0030478366203517,0.0346855302711344,0.0167319752244246,4377.635960245972,2316.028671979904,0,0,0,0,0,0
22,1,220224,221223,mu,2.146881069181415e-05,0.2583598177989265,0.0001070673758499,4.987112578658749,2.1428218760529967e-05,0.2750801093033678,0.0001974096125894,9.21260020702428,0.0214688106918141,0.0033857677078327,0.0214282187605299,0.0062426400779401,4828.047173969727,1470.4636447429657,0,0,0,0,0,0
29,1,290224,291223,mu,0.0006873864763133,0.6074522065927405,0.0332103659169707,48.313964649246024,0.0004588788718976,0.904376826309763,0.0394085007275672,85.87996340864527,0.6873864763133046,1.0502039822525409,0.458878871897611,1.2462062147151522,3698.831166821324,135.5189278125763,0,0,0,0,0,0
26,1,260224,261223,mu,1.0710008944153753e-05,0.7082742668879216,0.0008154204746916,76.13630193434851,1.97536748287406e-05,0.2087445101395562,1.9780799362236143e-05,1.001373138604878,0.0107100089441537,0.0257858595076134,0.0197536748287406,0.0006255237992347,5043.9191123158225,1153.4321880340576,0,0,0,0,1,0
31,1,310224,311223,mu,0.0006827239608438,0.2152597071270975,0.0254110494048729,37.22009313026747,0.0007539346885741,0.0544872697806977,0.0215255482832575,28.55094560507126,0.6827239608438449,0.8035679385446485,0.7539346885741727,0.6806976045902114,3575.0252412343784,134.42955780029297,0,0,0,0,0,0
32,1,320224,321223,mu,0.0005362662953854,0.9315389073688212,0.0110217036835976,20.552669034842445,0.0006291764287438,0.7509764089042757,0.0079446469414588,12.627057496925673,0.5362662953854225,0.3485368733563637,0.6291764287438442,0.2512317954090045,4630.347919953281,227.6690411567688,0,0,0,0,0,0
27,1,270224,271223,mu,8.755207789931001e-05,0.9160059585940656,0.0001073024263563,1.2255840058962222,8.354062019304463e-05,0.989999999860124,0.0001020843270652,1.2219723390770263,0.08755207789931,0.0033932006574862,0.0835406201930446,0.0032281898693173,4718.929409538475,717.7628827095032,0,0,0,1,0,0
3,1,30224,31223,mu,2.758797003132525e-05,0.5779215245753551,0.0022834796778958,82.77084813790373,3.5137223857953597e-05,0.378463122632548,0.0008174825872459,23.265429009152616,0.0275879700313252,0.0722099677285856,0.0351372238579536,0.0258510692322443,4667.80708734246,2719.460569858551,0,0,0,0,0,0
21,1,210224,211223,mu,2.9047666492746543e-05,0.9568233107502748,0.0003909011624583,13.457231153350572,2.8110762045554284e-05,0.98996332073404,0.0004011381005189,14.269911995587364,0.0290476664927465,0.0123613801337581,0.0281107620455542,0.0126851005391347,4724.600909773511,2258.7202291488647,0,0,0,1,0,0
18,1,180224,181223,mu,2.909486706356689e-05,0.4472189067777767,0.0001910310620878,6.565799447389151,2.957366700269932e-05,0.4283808460016922,2.9674292144880008e-05,1.0034025250291587,0.0290948670635668,0.0060409326003857,0.0295736670026993,0.0009383835113106,4740.887706429177,2323.372714996338,0,0,0,0,1,0
34,1,340224,341223,mu,0.0005398273219733,0.9665142381318848,0.0059534867155553,11.028502028745232,0.0005050154968752,0.9899985155441916,0.0065570072699596,12.98377438025405,0.5398273219733615,0.1882657804070981,0.5050154968752101,0.2073507760735496,4754.509609974204,340.7477798461914,0,0,0,1,0,0
30,1,300224,301223,mu,0.0001782657913739,0.350505953691077,0.0021558502900446,12.09346040779188,0.0001804311369281,0.2965017423618635,0.0012083646859451,6.6970962247278765,0.1782657913739612,0.0681739721087583,0.1804311369281963,0.0382118465170083,4229.263579718172,494.6639199256897,0,0,0,0,0,0
37,1,370224,371223,mu,0.0003927236960226,0.559488009731597,0.0011374621131183,2.8963419438098255,0.000354547628682,0.5043679964108957,0.0031428380642077,8.86436069503766,0.3927236960226387,0.0359697102960219,0.3545476286820208,0.0993852659997088,4474.220074718772,215.0358488559723,0,0,0,0,0,0
35,1,350224,351223,mu,0.0002894035623989,0.9686574745798376,0.0005899393012125,2.038465927379686,0.0002586517768255,0.9873211441127082,0.0039968746753357,15.452724602897314,0.2894035623989315,0.018655518730797,0.2586517768255781,0.1263922749630687,4737.23432333423,436.42908811569214,0,0,0,0,0,0
38,1,380224,381223,mu,0.0005375803994842,0.3130082254470321,0.0078934307416617,14.683256214763055,0.0006366676077037,0.3487939700862427,0.0036818465675828,5.782996532306758,0.5375803994842375,0.2496121969644323,0.6366676077037597,0.1164302114883497,3974.518008751187,287.55997681617737,0,0,0,0,0,0
2,1,20224,21223,mu,1.2812740714067322e-05,0.1957165527396795,0.0009953945123044,77.68786823350041,1.5890193121608896e-05,0.0914174344345048,7.442109836207681e-05,4.683460911552572,0.0128127407140673,0.0314771382931461,0.0158901931216088,0.0023534017679558,4966.238878723732,3080.614123106003,0,0,0,0,0,0
44,1,440224,441223,mu,0.000338787432995,0.568568960758669,0.0018473482846429,5.452824115438542,0.0003243516999674,0.6263653629734871,0.0004494171854231,1.3855860335194172,0.3387874329950577,0.0584182821107683,0.3243516999674113,0.0142118192555929,4497.703997350209,328.86977791786194,0,0,0,0,0,0
40,1,400224,401223,mu,0.0001132619848361,0.2967762283060367,0.0003049073831239,2.6920540335321643,9.91923356998351e-05,0.3573552833471666,0.0047481949739706,47.86856706690665,0.1132619848361162,0.0096420180607319,0.0991923356998351,0.1501511089231124,4342.952584802123,643.449805021286,0,0,0,0,0,0
14,1,140224,141223,mu,2.676245356393672e-05,0.6217355781501648,0.000185758109778,6.940996995444655,2.6160498729318084e-05,0.6438345175302355,0.0008012146664098,30.626888068916696,0.0267624535639367,0.0058741872074611,0.026160498729318,0.0253366324058716,4814.033920772709,3510.165498971939,0,0,0,0,0,0
42,1,420224,421223,mu,0.0001467157777873,0.7610274503663971,0.0003556426885638,2.4240248317358506,0.0001276427952289,0.9808923730607348,0.0031506872599563,24.683627887530836,0.1467157777873128,0.0112464092904779,0.1276427952289744,0.0996334793633693,4755.692092228865,785.6981806755066,0,0,0,0,0,0
5,1,50224,51223,mu,2.2480802082380953e-05,0.3030909024857307,0.0002151346070855,9.569703353874864,2.2028690836451623e-05,0.3545228138496077,2.265471442296665e-05,1.0284185561077068,0.0224808020823809,0.0068031536191576,0.0220286908364516,0.0007164049731724,4746.947437981341,4092.1240599155426,0,0,0,0,1,0
46,1,460224,461223,mu,4.2216722375780873e-05,0.2785986153330012,0.0010332416528782,24.474700894141844,4.381568118256375e-05,0.2244035666423147,4.3815918390302785e-05,1.0000054137635803,0.0422167223757808,0.0326739699645238,0.0438156811825637,0.0013855809988541,4546.191077321867,1013.2877941131592,0,0,0,0,1,0
49,1,490224,491223,mu,9.849261848735816e-05,0.6590055031014004,0.0032586024351316,33.084737568937186,0.0001061271035672,0.5937662114945266,0.0013652192699163,12.864001975248136,0.0984926184873581,0.1030460568398724,0.1061271035672396,0.043172023984878,4710.359652110559,812.5316669940948,0,0,0,0,0,0
50,1,500224,501223,mu,8.64221504809537e-05,0.8567370137499465,0.0002627474234436,3.04027870148333,7.549986351996651e-05,0.9899792176035264,0.0016305364722901,21.596548606460683,0.0864221504809537,0.0083088030742259,0.0754998635199665,0.0515620906041275,4731.727739087507,608.7643148899078,0,0,0,1,0,0
47,1,470224,471223,mu,1.0689292312591298e-05,0.887121413948735,0.0001774694231591,16.602541868003726,1.7252152341059977e-05,0.4246443920480496,2.5057299710143565e-05,1.4524158617882943,0.0106892923125912,0.0056120759221907,0.0172521523410599,0.0007923813909753,4666.13915926939,1396.4904730319977,0,0,0,0,0,0
36,1,360224,361223,mu,3.595262298728443e-05,0.8948699381090968,4.747544317323853e-05,1.3205001256801052,3.404719880599236e-05,0.9575656354695652,0.0006200874449909,18.212583317774833,0.0359526229872844,0.0015013053335332,0.0340471988059923,0.0196088867464586,4721.201497048162,2467.797477006912,0,0,0,0,0,0
43,1,430224,431223,mu,2.990975111939523e-05,0.930983639221433,6.0748392563999545e-05,2.0310564377985325,2.9755925183956253e-05,0.9306800531328862,0.0002447327736607,8.224673645592844,0.0299097511193952,0.0019210328469627,0.0297559251839562,0.0077391298285833,4725.763692427227,2188.193796157837,0,0,0,0,0,0
33,1,330224,331223,mu,2.7307739199321817e-05,0.9302675714363772,5.023149138764512e-05,1.8394599062559016,2.7728584883769705e-05,0.913050041948868,0.000221758682735,7.997475661475168,0.0273077391993218,0.0015884592305209,0.0277285848837697,0.0070126252836156,4705.91733773205,2845.525865793228,0,0,0,0,0,0
54,1,540224,541223,mu,5.782764358578933e-05,0.8111912391081573,0.0023133924243118,40.00495750583168,6.742899496641636e-05,0.6730165833719346,0.0004053887537606,6.012083584555444,0.0578276435857893,0.0731558918260423,0.0674289949664163,0.0128195179970084,4744.119135200714,489.5649268627167,0,0,0,0,0,0
55,1,550224,551223,mu,0.0001418228368025,0.851146028763441,0.0036523724422012,25.75306293785893,0.0001632218532749,0.7864211045081776,0.0002025294327005,1.2408230187128495,0.1418228368025281,0.1154981578058749,0.1632218532749554,0.0064045430055548,4757.600552938734,334.9004318714142,0,0,0,0,0,0
57,1,570224,571223,mu,0.000467955649344,0.7867576066978011,0.0088918513754559,19.0014831275574,0.0004388102434277,0.989999999181424,0.0073855752928956,16.830909039868814,0.4679556493440399,0.281185029621418,0.4388102434277823,0.2335523975621559,4636.809879072443,228.0856940746307,0,0,0,1,0,0
56,1,560224,561223,mu,7.154800728964213e-05,0.0591561252322271,0.0023509866886956,32.85887025725727,7.698125466950148e-05,0.0100063576205883,0.0001626140950453,2.1123856157385683,0.0715480072896421,0.0743447268501548,0.0769812546695014,0.0051423091999044,4051.34326014042,307.81668400764465,0,0,1,0,0,0
39,1,390224,391223,mu,3.97077968468949e-05,0.39374684286,0.0001824410566567,4.594590260451297,2.863425595822814e-05,0.6334876674746477,0.002478592611174,86.56039866339789,0.0397077968468949,0.0057692927776306,0.0286342559582281,0.0783799804297396,4669.998309348149,2903.545297384262,0,0,0,0,0,0
53,1,530224,531223,mu,1.0147573802417473e-05,0.5560004433817813,4.8322189152902376e-05,4.761945081039028,1.709878247010742e-05,0.1709325049441993,0.0002228027104759,13.030326040198764,0.0101475738024174,0.0015280817924865,0.0170987824701074,0.0070456403396301,4802.392083619413,1031.0750451087952,0,0,0,0,0,0
60,1,600224,601223,mu,0.000418836211523,0.3009033888087549,0.0043439493639851,10.371475160156654,0.0004383845907339,0.3616094134780221,0.0004441094295108,1.0130589416185969,0.4188362115230258,0.1373677403063297,0.4383845907339702,0.014043973276123,4053.736638731052,321.25446820259094,0,0,0,0,1,0
58,1,580224,581223,mu,0.0001709946422107,0.2797520146699209,0.0009725996336272,5.6878953694276895,0.0001484422927886,0.3295339483398119,0.0041198074423767,27.753596128035056,0.1709946422107189,0.0307563009370753,0.1484422927886857,0.1302797503922331,4179.806063974934,614.8840980529785,0,0,0,0,0,0
62,1,620224,621223,mu,0.0003293219224673,0.3759414539097809,0.0101523002292015,30.827890694725713,0.0002382030156209,0.7019880822889143,0.0148175655238312,62.20561685672352,0.3293219224673873,0.3210439221412638,0.2382030156209219,0.4685725643409257,4085.6342174902793,297.9914970397949,0,0,0,0,0,0
52,1,520224,521223,mu,3.2743493206752804e-05,0.194342764308968,0.0001456345336257,4.447739668648474,3.294242206113172e-05,0.2117753655814716,3.371992211317971e-05,1.0236017877072054,0.0327434932067528,0.0046053683223389,0.0329424220611317,0.0010663175640112,4536.8348259456325,1478.1712110042572,0,0,0,0,1,0
61,1,610224,611223,mu,9.97639188905718e-05,0.1292880973999353,0.0002298568379065,2.304007706019561,8.453375523789944e-05,0.1895263029398176,0.0040531707038176,47.94736365858776,0.0997639188905717,0.0072687114354894,0.0845337552378994,0.1281725116953138,4095.673558195435,677.7153422832489,0,0,0,0,0,0
63,1,630224,631223,mu,0.0001355745503299,0.4851581003228722,0.0033444417063443,24.668654243777137,0.0001380208871542,0.4878372010881575,0.0036118545732706,26.168898401841716,0.1355745503299194,0.1057605329370813,0.1380208871542113,0.1142168702883066,4461.884663548759,592.5652868747711,0,0,0,0,0,0
69,1,690224,691223,mu,0.0007802375401663,0.3340984785007703,0.0267052858634202,34.227122496217895,0.0009998915123671,0.0158348143798447,0.0026217535421498,2.6220380008459143,0.7802375401663172,0.8444952889430434,0.9998915123671,0.0829071265680772,3647.8934357208936,55.11415696144104,0,1,0,0,0,0
67,1,670224,671223,mu,8.683635318084864e-05,0.1059379046691163,0.0001682880350275,1.9379905864664453,8.528337624480559e-05,0.146665164021284,0.0003915566501712,4.591242366475515,0.0868363531808486,0.0053217349364128,0.0852833762448055,0.0123821084752682,4111.27058837917,391.7573461532593,0,0,0,0,0,0
68,1,680224,681223,mu,0.0001766512863752,0.4512654321586515,0.0173720574819487,98.34096223362324,0.0003173593058734,0.0209692118038675,0.0102517661843559,32.303341968000616,0.176651286375243,0.5493526928632743,0.3173593058734055,0.3241893118205837,3788.956214261475,228.5825231075287,0,0,0,0,0,0
70,1,700224,701223,mu,7.42424269510043e-05,0.9683481857134376,0.001068857145242,14.396850818837368,7.589474176530722e-05,0.8914444501477249,0.0010363517713804,13.655119541551414,0.0742424269510042,0.0338002307231025,0.0758947417653072,0.032772320547123,4729.145987264137,420.8398289680481,0,0,0,0,0,0
65,1,650224,651223,mu,6.19881804812228e-05,0.8673966284752309,0.0045910016343595,74.06253254602709,9.436992479091488e-05,0.5406070059958933,0.0009190609316496,9.738917708008524,0.0619881804812227,0.1451802190613177,0.0943699247909148,0.029063258524893,4671.899397538234,945.1686651706696,0,0,0,0,0,0
72,1,720224,721223,mu,0.0001092019234474,0.9055915016454597,0.0004598802382187,4.211283315353591,0.0001034565318009,0.9897346168799772,0.0001768336099799,1.7092551519137968,0.1092019234474518,0.0145426900367214,0.1034565318009982,0.0055919697440664,4705.4288246704555,573.6251702308655,0,0,0,1,0,0
45,1,450224,451223,mu,2.2246580852500647e-05,0.7089879542694838,2.495996866296674e-05,1.1219687568375745,2.200050778843496e-05,0.7075504479768432,0.0004432131687767,20.145588140004833,0.0222465808525006,0.000789303513014,0.0220005077884349,0.0140156310231524,4842.8044935729795,3925.9470641613007,0,0,0,0,0,0
64,1,640224,641223,mu,7.496882827831764e-05,0.914419312289875,0.0004409915142937,5.882331689333925,7.243978583551304e-05,0.933979265286486,0.0009986362462462,13.78574266513992,0.0749688282783176,0.0139453761397504,0.072439785835513,0.0315796509213886,4729.292213758925,1265.1426422595978,0,0,0,0,0,0
66,1,660224,661223,mu,1.1078235059802927e-05,0.7471984809090525,6.699419764598545e-05,6.047371019330693,1.3335571299294496e-05,0.6118709504100056,0.001333412455473,99.98915123671004,0.0110782350598029,0.002118542545768,0.0133355712992944,0.042166204197328,4702.860810389553,1113.0930140018463,0,0,0,0,0,1
71,1,710224,711223,mu,9.360149948924567e-05,0.906480699326212,0.0015490610675354,16.549532603518223,8.47778532492403e-05,0.9896316557523148,0.0022150967996702,26.12824829567267,0.0936014994892456,0.0489856120810398,0.0847778532492403,0.070047511247077,4762.582321311024,805.3966579437256,0,0,0,1,0,0
51,1,510224,511223,mu,1.8004482614256517e-05,0.3199093609348759,0.0008268332674354,45.92374494453387,2.122778074053391e-05,0.2181550124015445,0.0004299102809817,20.25224804403599,0.0180044826142565,0.0261467637029502,0.0212277807405339,0.0135949567742514,4633.855906904863,2910.21564078331,0,0,0,0,0,0
48,1,480224,481223,mu,1.1617263585076231e-05,0.5299773878500403,0.0002488807639751,21.423355177618795,1.5099478035901247e-05,0.3504668315140022,2.3821521003448698e-05,1.577638706901623,0.0116172635850762,0.0078703007996411,0.0150994780359012,0.0007533026370043,4935.815322001983,3630.897705078125,0,0,0,0,0,0
74,1,740224,741223,mu,0.0001437445665751,0.7443094916021239,0.008238281849839,57.31195304366058,0.0001782001679187,0.5298921214678857,0.0058256861860037,32.69181086665059,0.1437445665751981,0.2605173465191681,0.1782001679187065,0.1842243728115112,4540.309129908078,449.4598009586334,0,0,0,0,0,0
78,1,780224,781223,mu,0.0003074384731784,0.4806554265875656,0.007093999966105,23.07453550872596,0.0002489926789864,0.5832201099193544,0.0107676126262348,43.24469566761971,0.3074384731784694,0.2243319761404935,0.2489926789864603,0.340501808612893,4299.683409657478,243.6916151046753,0,0,0,0,0,0
59,1,590224,591223,mu,3.4053975874826634e-05,0.113994555522253,0.0003985989821582,11.704917617355184,3.441719728240546e-05,0.0745364383889448,0.0007248744078989,21.06140142531357,0.0340539758748266,0.0126048065664487,0.0344171972824054,0.0229225414652663,4430.177476113366,1967.894103050232,0,0,0,0,0,0
