game,original_item,item,onset,offset
1,BOWTIE,Object_Land_Solid_Small,2.3,3.2
1,HOUSE,Object_Land_Pattern_Large,5.0,5.4
1,CRAB,Animal_Sea_Solid_Small,7.1,7.7
2,ZEBRA,Animal_Land_Pattern_Large,2.5,3.4
2,LION,Animal_Land_Solid_Large,3.4,4.3
2,FLOATY,Object_Sea_Pattern_Small,4.3,5.3
2,SNORKEL,Object_Sea_Solid_Small,5.3,6.8
2,LADYBUG,Animal_Land_Pattern_Small,7.5,8.3
3,LADYBUG,Animal_Land_Pattern_Small,2.3,3.8
3,HAT,Object_Land_Pattern_Small,3.8,4.8
3,FISH,Animal_Sea_Pattern_Small,5.5,6.0
3,COUCH,Object_Land_Solid_Large,7.9,8.5
4,BOWTIE,Object_Land_Solid_Small,2.2,3.0
4,HOUSE,Object_Land_Pattern_Large,3.2,4.2
4,CRAB,Animal_Sea_Solid_Small,5.3,5.9
4,WHALE,Animal_Sea_Pattern_Large,7.1,7.7
5,ZEBRA,Animal_Land_Pattern_Large,2.5,3.4
5,LION,Animal_Land_Solid_Large,3.4,4.5
5,SNORKEL,Object_Sea_Solid_Small,6.0,7.0
6,COUCH,Object_Land_Solid_Large,2.4,3.2
6,FISH,Animal_Sea_Pattern_Small,3.2,4.4
6,BOAT,Object_Sea_Pattern_Large,10.0,10.4
6,SEAL,Animal_Sea_Solid_Large,11.8,12.4
6,BIRD,Animal_Land_Solid_Small,13.5,13.9
7,ZEBRA,Animal_Land_Pattern_Large,2.8,3.7
7,SNORKEL,Object_Sea_Solid_Small,4.6,5.4
