time_col,include_transition,irrelevant_mode,include_center_fixations,center_gaze_mode,center_mode,reward_scale,n_v_bins,rt_bins_max,rt_bins_fixed,min_trials_per_rt_bin,n_sim_per_vbin,alpha,d_min,d_max,theta_min,theta_max,sigma_min,sigma_max,mu_min,mu_max,fix_mu,phi_center_min,phi_center_max,setting,heldout_game,fold,mode,split_by,n_folds,n_train_trials,n_test_trials,d,theta,sigma,mu,phi_center,noise_param,loglik_train,loglik_test,seed
rt_ms,1,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,7.0,7,fit,subject,10,1811,188,0.0001943151377071,0.0310640796665425,0.0002630773986319,1.353869810330205,1.0,mu,-3089.340791796612,-321.1755815223831,8002
rt_ms,1,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,5.0,5,fit,subject,10,1798,201,0.0001901906381406,0.0100000024194109,0.0002539726074546,1.335358090900297,1.0,mu,-3039.497950737044,-340.9019561929737,6002
rt_ms,1,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,9.0,9,fit,subject,10,1817,182,0.0002064453051063,0.0105319740225608,0.0002151785280665,1.042302841208864,1.0,mu,-3135.671533997003,-309.5067978672199,10002
rt_ms,1,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,2.0,2,fit,subject,10,1787,212,0.0001981611185306,0.0257822654317213,0.0002403959259709,1.2131336750290709,1.0,mu,-3014.1401568492015,-358.6413345413253,3002
rt_ms,1,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,1.0,1,fit,subject,10,1785,214,0.0001849603080643,0.0100000000002562,0.0003545653861474,1.9169809450364512,1.0,mu,-3044.367148188275,-357.1544917125888,2002
rt_ms,1,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,6.0,6,fit,subject,10,1808,191,0.0001877577224886,0.0141633831022941,0.000391155817389,2.083300820890321,1.0,mu,-3074.9671635786926,-327.5131733765415,7002
rt_ms,1,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,4.0,4,fit,subject,10,1796,203,0.0001779760376135,0.0139435865713185,0.0027045641646732,15.196226418672456,1.0,mu,-3024.029117479771,-345.2798399403408,5002
rt_ms,1,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,0.0,0,fit,subject,10,1782,217,0.0001811576409549,0.0117189773555157,0.001974991964616,10.902062723961189,1.0,mu,-3003.893446106961,-351.38230589697235,1002
rt_ms,1,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,8.0,8,fit,subject,10,1815,184,0.0001877608519639,0.0102583899420361,0.0018782442696579,10.003385956189785,1.0,mu,-3156.336162215536,-318.52733541698854,9002
rt_ms,1,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,3.0,3,fit,subject,10,1792,207,0.00019767946062382443,0.0246652771216386,0.0002776922117619055,1.404760064022746,1.0,mu,-3030.29159213613,-328.40325263646224,4002
