time_point,group_duration_mean,group_duration_sem,group_duration_mean_smooth,group_duration_sem_smooth,significant,chance_level,n_subjects
-2950.0,0.23226702578672265,0.048428913535077896,0.21229277059401308,0.0460588624113047,False,0.16666666666666666,42
-2925.0,0.27192813912140096,0.057490927231483205,0.20738670584063537,0.04514046485815661,False,0.16666666666666666,42
-2900.0,0.1549860386287676,0.040308118412209264,0.203195006122407,0.04489822219633265,False,0.16666666666666666,42
-2875.0,0.17298874927589933,0.04139341983719901,0.19534395490772877,0.044234061726435944,False,0.16666666666666666,42
-2850.0,0.12942262419372677,0.030822677421688052,0.19123914781791848,0.044118971244430163,False,0.16666666666666666,42
-2825.0,0.1832063782529456,0.03924493800359707,0.18611450174067126,0.04348813676807863,False,0.16666666666666666,42
-2800.0,0.19035002860443892,0.04600648691683833,0.18755854220721493,0.04391792785331856,False,0.16666666666666666,42
-2775.0,0.15375651363994033,0.04178730883611075,0.185814069957203,0.042783065730478395,False,0.16666666666666666,42
-2750.0,0.19121895488861984,0.047278008715020144,0.19804275466682578,0.04374637997998647,False,0.16666666666666666,42
-2725.0,0.1810205650142506,0.042120568771562554,0.21494275604309587,0.045080403783587734,False,0.16666666666666666,42
-2700.0,0.24670743045215923,0.05272682438747714,0.22930269176094864,0.047495275031310034,False,0.16666666666666666,42
-2675.0,0.2544834166212817,0.046142306003081675,0.23942856628317874,0.04935825150546744,False,0.16666666666666666,42
-2650.0,0.2772728857249954,0.04994126090728994,0.24609824530343988,0.050077924030084695,False,0.16666666666666666,42
-2625.0,0.3419887630386004,0.054733657873211654,0.2520379996205896,0.0505285238341945,False,0.16666666666666666,42
-2600.0,0.2730219813722542,0.054971389898911024,0.2540219323052848,0.0502702704825322,False,0.16666666666666666,42
-2575.0,0.28446512347524666,0.0578747027451711,0.25290751601809747,0.05017470031539567,False,0.16666666666666666,42
-2550.0,0.25704681880705044,0.05320321216301086,0.24662204690821118,0.04904181926670195,False,0.16666666666666666,42
-2525.0,0.21315405681143734,0.04629330687720891,0.23663623316489402,0.04852945236269117,False,0.16666666666666666,42
-2500.0,0.21105828173557215,0.044695475198397186,0.23251916985861312,0.048502803622960174,False,0.16666666666666666,42
-2475.0,0.16987640214237726,0.041164867100197275,0.22143277174844087,0.0480671142872052,False,0.16666666666666666,42
-2450.0,0.1838527393532961,0.041398013900539925,0.21436306103962316,0.0466945593382188,False,0.16666666666666666,42
-2425.0,0.15462527918811014,0.04101863696297382,0.21013625990494167,0.04537174995614645,False,0.16666666666666666,42
-2400.0,0.23610225266218668,0.04967477350997992,0.20702259881526153,0.04469298648196269,False,0.16666666666666666,42
-2375.0,0.23112478193687785,0.050376764515661886,0.2152612236759555,0.04546222602598403,False,0.16666666666666666,42
-2350.0,0.20232487428407722,0.04124584040904708,0.21915439325047506,0.04612007851534096,False,0.16666666666666666,42
-2325.0,0.2421971121284316,0.04464660892444761,0.2229212437711392,0.04599179418618243,False,0.16666666666666666,42
-2300.0,0.22591020791024882,0.046415577421173214,0.2226209770026881,0.045158799422417094,False,0.16666666666666666,42
-2275.0,0.295540305418377,0.053985702317422335,0.22919316048031999,0.04505777651131465,False,0.16666666666666666,42
-2250.0,0.24998997748076815,0.0512740000919665,0.22737646613652207,0.04438618093021649,False,0.16666666666666666,42
-2225.0,0.2075449073490186,0.03988202380861198,0.23084977294791698,0.04364719687158747,False,0.16666666666666666,42
-2200.0,0.18085007166878492,0.03306806626288664,0.2362424417220545,0.044089498743242535,False,0.16666666666666666,42
-2175.0,0.2203471139644288,0.04000840785194933,0.2376696352052017,0.04454436785289434,False,0.16666666666666666,42
-2150.0,0.21793530922420765,0.04295881769899832,0.24569036619511628,0.045603954186977234,False,0.16666666666666666,42
-2125.0,0.26585785005082685,0.0429869239293716,0.2387695572540884,0.04497245437229583,False,0.16666666666666666,42
-2100.0,0.25625156202545235,0.045668859125597865,0.24003090843407515,0.04488207182957926,False,0.16666666666666666,42
-2075.0,0.25646904695990363,0.04919530002096561,0.24604161075120326,0.04623143817961477,False,0.16666666666666666,42
-2050.0,0.30611751780939483,0.05701144076200209,0.25588741113584146,0.04838141467074931,False,0.16666666666666666,42
-2025.0,0.2263322160080981,0.04767070417060825,0.25743528103998253,0.048945285087445035,False,0.16666666666666666,42
-2000.0,0.2626034892806358,0.050370174664800905,0.2620481580855891,0.049493371637936864,False,0.16666666666666666,42
-1975.0,0.26765193052029956,0.05337568730896704,0.26141295685947513,0.050091450767804115,False,0.16666666666666666,42
-1950.0,0.27930807551516673,0.05456783117423202,0.26280988438059405,0.05076637107687848,False,0.16666666666666666,42
-1925.0,0.2358258130058399,0.04564711201890661,0.2686106411272112,0.05135558285437561,False,0.16666666666666666,42
-1900.0,0.2640640796802736,0.04843968320391662,0.26278196706705803,0.050041061749250604,False,0.16666666666666666,42
-1875.0,0.25950583778968667,0.04896771522804407,0.26729030538388604,0.04990615291336149,False,0.16666666666666666,42
-1850.0,0.2702208372366411,0.05241806221634158,0.2736101165333405,0.05038222015438205,False,0.16666666666666666,42
-1825.0,0.31447661442607555,0.0550874177959369,0.2786973994444492,0.05042170815969033,False,0.16666666666666666,42
-1800.0,0.24783077720786315,0.043866229710752075,0.2795682959427841,0.05004318548229449,False,0.16666666666666666,42
-1775.0,0.2714155991763784,0.0463216158117171,0.2891707674418384,0.05085960004864456,False,0.16666666666666666,42
-1750.0,0.3258016007751803,0.05513084707500644,0.2990076071279703,0.05178665616287364,False,0.16666666666666666,42
-1725.0,0.3185247596313868,0.0537705673620499,0.3103767982526742,0.05228642922508016,False,0.16666666666666666,42
-1700.0,0.2880170404985157,0.05078260440027368,0.32064203101966127,0.05279312629787405,False,0.16666666666666666,42
-1675.0,0.33185052799638276,0.053811257682407236,0.3171575014503544,0.053335228248119426,False,0.16666666666666666,42
-1650.0,0.3624324765415926,0.057710244346207425,0.32660694283288905,0.054590346063827795,False,0.16666666666666666,42
-1625.0,0.37319774903672576,0.05396544585010921,0.33846208160878927,0.05557390150027901,False,0.16666666666666666,42
-1600.0,0.37287316490651135,0.05748503294428047,0.3434685122712905,0.05543588475221317,False,0.16666666666666666,42
-1575.0,0.27963131873300684,0.06050843729839067,0.35100064725997965,0.05514227900289688,False,0.16666666666666666,42
-1550.0,0.3423251910332098,0.05641740786783581,0.35715756771528323,0.05546710422018093,False,0.16666666666666666,42
-1525.0,0.3899669869353803,0.056157170176229225,0.3537784224826212,0.055412561613413895,False,0.16666666666666666,42
-1500.0,0.37586590740019266,0.05375067959434806,0.34171287494124997,0.05429028263210697,False,0.16666666666666666,42
-1475.0,0.39384610951827903,0.05083450986888698,0.3315782549886449,0.0542630975163984,False,0.16666666666666666,42
-1450.0,0.3495862450515512,0.054030856573114225,0.3288330944005752,0.05421000731307676,False,0.16666666666666666,42
-1425.0,0.2980590756697623,0.05326583161473686,0.3413076879067043,0.05411553877273008,False,0.16666666666666666,42
-1400.0,0.24177700112788011,0.04648745453313822,0.35252607778783607,0.05494096667749795,False,0.16666666666666666,42
-1375.0,0.2718515495106753,0.053693594693023476,0.3629081530685461,0.055473492796068814,False,0.16666666666666666,42
-1350.0,0.34542155902581345,0.05695413091106402,0.36699577912829356,0.05593524931103975,True,0.16666666666666666,42
-1325.0,0.40437725379429823,0.05956375189492389,0.3631620267109877,0.05647545759918442,True,0.16666666666666666,42
-1300.0,0.4545090898445279,0.06467168691551449,0.36428762380747565,0.05668698783325974,True,0.16666666666666666,42
-1275.0,0.4937877397424809,0.06148243136193793,0.36984659920011476,0.05753424401321948,True,0.16666666666666666,42
-1250.0,0.41674216799766667,0.05836824474405738,0.3816844115776722,0.0588648408425728,True,0.16666666666666666,42
-1225.0,0.35550858534522073,0.05623659275033364,0.3898291235336309,0.05917652481120552,True,0.16666666666666666,42
-1200.0,0.3608422160164311,0.056146158913867435,0.3941145324557092,0.05879521128672477,True,0.16666666666666666,42
-1175.0,0.35364882959615396,0.061738393414334174,0.3922246653111711,0.05810968549968014,True,0.16666666666666666,42
-1150.0,0.36015512490345375,0.05979342282667143,0.39077983608118055,0.057126250569530565,True,0.16666666666666666,42
-1125.0,0.3532986690702621,0.05681043437935074,0.3850121128669825,0.05651834528812389,True,0.16666666666666666,42
-1100.0,0.388275648246596,0.0531409956662566,0.392744499069772,0.0567242299208074,True,0.16666666666666666,42
-1075.0,0.3854785823489174,0.052708494024477553,0.40560205185959297,0.057003850667357324,True,0.16666666666666666,42
-1050.0,0.4400607975446222,0.05483733761401879,0.4219465044335753,0.05711674733824018,True,0.16666666666666666,42
-1025.0,0.43611050760050035,0.05540337854787122,0.43666149359540224,0.05673362747633161,True,0.16666666666666666,42
-1000.0,0.49406603002556126,0.060427091070892384,0.44947893696626967,0.05679054612443002,True,0.16666666666666666,42
-975.0,0.48408411324343165,0.059032800215832924,0.4595534531122702,0.056944798324252345,True,0.16666666666666666,42
-950.0,0.5242867417562543,0.05727512562269596,0.46997324421203296,0.05715497319069579,True,0.16666666666666666,42
-925.0,0.5007987212144237,0.057907194795248446,0.47516171217504954,0.0574900063483832,True,0.16666666666666666,42
-900.0,0.4883295586121277,0.060362609307655565,0.4723735838805798,0.0573241307980038,True,0.16666666666666666,42
-875.0,0.4540438305302672,0.058352956377574004,0.4696369207874202,0.05707939379388118,True,0.16666666666666666,42
-850.0,0.4924735592442231,0.05524274433069112,0.4568722898124612,0.057060564082951376,True,0.16666666666666666,42
-825.0,0.43736326197908326,0.0560588256013516,0.44320944004607676,0.05683448503490263,True,0.16666666666666666,42
-800.0,0.412179514599925,0.05317858211022479,0.4337693292372929,0.05714088100559799,True,0.16666666666666666,42
-775.0,0.4087438766689036,0.05295600850664498,0.433606053520305,0.0581607319897931,True,0.16666666666666666,42
-750.0,0.3664197202759714,0.06023879396159433,0.4335343864833461,0.058924138547420936,True,0.16666666666666666,42
-725.0,0.3474556155795875,0.05677200973534545,0.4402662126738851,0.05956676817336348,True,0.16666666666666666,42
-700.0,0.4298856336684152,0.06033908532964953,0.4354845162281544,0.05992667298266891,True,0.16666666666666666,42
-675.0,0.49916596404454533,0.0681057046371996,0.4351091055382074,0.059635887651716395,True,0.16666666666666666,42
-650.0,0.4876128882425385,0.06799667488393389,0.4391770840450879,0.060037887475943595,True,0.16666666666666666,42
-625.0,0.5213620924356577,0.06477925263699946,0.4446739156235485,0.06046961060828011,True,0.16666666666666666,42
-600.0,0.4446565947869165,0.05884179242374548,0.4607944103284821,0.060046518262780076,True,0.16666666666666666,42
-575.0,0.4336091550796134,0.053150972291826346,0.47901439789144207,0.06015306623327192,True,0.16666666666666666,42
-550.0,0.45285929966872973,0.05719858035249684,0.49612192098816393,0.05969505960194151,True,0.16666666666666666,42
-525.0,0.4637121924535097,0.05727323983001003,0.5022676797482604,0.058477326203117325,True,0.16666666666666666,42
-500.0,0.5276246673253078,0.05600787050659405,0.5055118804353573,0.057331400250862766,True,0.16666666666666666,42
-475.0,0.5296554912091866,0.05783748944026387,0.5063868818978975,0.05658366993516014,True,0.16666666666666666,42
-450.0,0.6009608646356335,0.05575901901634547,0.5138552955521775,0.05657576792871562,True,0.16666666666666666,42
-425.0,0.5606235516455101,0.05592837064895782,0.5178454832189578,0.05748548587353085,True,0.16666666666666666,42
-400.0,0.5200548951135083,0.056537415361388295,0.5156128967209019,0.05806445909655635,True,0.16666666666666666,42
-375.0,0.530112107061059,0.05730194947997318,0.5110541885639638,0.05841030277458574,True,0.16666666666666666,42
-350.0,0.5193407313297161,0.05876277235930027,0.4954088938107868,0.05824077163961621,True,0.16666666666666666,42
-325.0,0.47351103174741777,0.062248151739978635,0.47952930682426187,0.057619047770066704,True,0.16666666666666666,42
-300.0,0.4305334346881704,0.06298831258275182,0.4547965937655895,0.05714992423683716,True,0.16666666666666666,42
-275.0,0.41812511088412774,0.06073167661030392,0.44195655387994365,0.05705807724830608,True,0.16666666666666666,42
-250.0,0.37117171979353775,0.054312559156898824,0.4328094092902052,0.05689549880957719,True,0.16666666666666666,42
-225.0,0.37085962134393724,0.05162025074476879,0.4216111903684117,0.05625713594880449,True,0.16666666666666666,42
-200.0,0.35363373404890963,0.05106778368405001,0.41668091211714925,0.05564127932225679,True,0.16666666666666666,42
-175.0,0.4322231527890516,0.055009900763647104,0.41485310829975913,0.055013312878752746,True,0.16666666666666666,42
-150.0,0.428583449216124,0.054911630974099394,0.4190057177514659,0.0547643433145195,True,0.16666666666666666,42
-125.0,0.41812991784312425,0.050918320872246126,0.41817159783983926,0.054039736843488624,True,0.16666666666666666,42
-100.0,0.47003794881709204,0.05260420609382327,0.4185180152769904,0.05481254345215695,True,0.16666666666666666,42
-75.0,0.4552329935735167,0.05596848730493822,0.413309346187439,0.05501147563974516,True,0.16666666666666666,42
-50.0,0.47205952920523797,0.0604986169404194,0.40912925064336336,0.055222139325165294,True,0.16666666666666666,42
-25.0,0.4097839117678614,0.05348561189999519,0.40137999153377646,0.05507917547455875,True,0.16666666666666666,42
0.0,0.37463589416504894,0.06204062524358204,0.38798375542467073,0.05445048296658665,True,0.16666666666666666,42
25.0,0.31877293044842264,0.053609572620650796,0.3769310605677164,0.05398102751846737,True,0.16666666666666666,42
50.0,0.31183277860815384,0.053174420538251346,0.36017263814585027,0.0537118063084704,True,0.16666666666666666,42
75.0,0.35473056169318296,0.05358026225758162,0.3430656466421213,0.05306710300348414,True,0.16666666666666666,42
100.0,0.2946210881250667,0.048624705894378506,0.32309845946443927,0.051712834277723364,False,0.16666666666666666,42
125.0,0.3076029692735808,0.04622376639105319,0.3077823489216004,0.050340286781859776,False,0.16666666666666666,42
150.0,0.30245372459843056,0.04991199399385369,0.29614911578014935,0.0486048053988045,False,0.16666666666666666,42
175.0,0.28416307853622685,0.0495214542550756,0.29082540097133636,0.04771190389163432,False,0.16666666666666666,42
200.0,0.272387657428418,0.04695592968281171,0.2846083695618454,0.04662161548105115,False,0.16666666666666666,42
225.0,0.25662280633947293,0.03976013694135935,0.2725941049813573,0.045724528994873885,False,0.16666666666666666,42
250.0,0.2583035627505389,0.044685811413029165,0.26739126396890556,0.04515881719936242,False,0.16666666666666666,42
275.0,0.26553578236029224,0.04468055754894892,0.26058523101908077,0.044575140205709705,False,0.16666666666666666,42
300.0,0.24966246451324417,0.042271536432419626,0.2541093639743164,0.04371015523278653,False,0.16666666666666666,42
325.0,0.23458791588830158,0.044609397395808985,0.250803253064085,0.04265343142421853,False,0.16666666666666666,42
350.0,0.2425926780005493,0.04296758793926388,0.2500844586180587,0.04219958591863364,False,0.16666666666666666,42
375.0,0.239542639775333,0.04038699645452607,0.248305614274123,0.04181947697757192,False,0.16666666666666666,42
400.0,0.23769505415078657,0.04126214426462193,0.24800938532223,0.04176562235831384,False,0.16666666666666666,42
425.0,0.25110196943391283,0.0389542161693956,0.24224965377751406,0.04168123505352801,False,0.16666666666666666,42
450.0,0.2651997129681553,0.04241747462696291,0.24044092691977256,0.04184070836712454,False,0.16666666666666666,42
475.0,0.238834362900116,0.03595904753074216,0.24216189321909093,0.04264459456455318,False,0.16666666666666666,42
500.0,0.2553412732316091,0.0441472652204483,0.24106951492285136,0.043020296581867845,False,0.16666666666666666,42
525.0,0.20793846691313275,0.04383668450109061,0.24333047778805783,0.04334293200244904,False,0.16666666666666666,42
550.0,0.23157519593582898,0.04386626956838495,0.2416832841164691,0.0433475586544952,False,0.16666666666666666,42
575.0,0.25179757888148546,0.052648259370095436,0.2396765699233477,0.04380364836281224,False,0.16666666666666666,42
600.0,0.23166889503815352,0.046724608112410464,0.24083346388383914,0.04496859261824686,False,0.16666666666666666,42
625.0,0.2621522684273975,0.043613350660338016,0.24462689285113448,0.04677937958330355,False,0.16666666666666666,42
650.0,0.2212231174348993,0.04130841078508355,0.2467696307852805,0.04777134477938963,False,0.16666666666666666,42
675.0,0.23103482750269916,0.043515113252566025,0.2536526493512742,0.048794368047411475,False,0.16666666666666666,42
700.0,0.2767686525730694,0.05406691718130907,0.2581719950149982,0.04981443280870389,False,0.16666666666666666,42
