phase,event,trial_number,eyetracker_onset,eyetracker_offset,fix_start,fix_end,fix_duration_full,fix_duration_bounded,fix_x,fix_y,roi_x,roi_y,roi_content,thisRow.t,notes,onset,offset,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,Unnamed: 20
encoding,fixation,1,8961384,8962142,8961485.0,8961636.0,152.0,152.0,1709.5,1161.6,1591.0,891.0,Animal_Land_Pattern_Small,,,13.63024866662454,14.38841158314608,1.0,Object_Sea_Solid_Large,2.0,,,,,,,,,,,
encoding,fixation,1,8961384,8962142,8961658.0,8961900.0,243.0,243.0,1891.0,1114.1,1920.0,1080.0,fixation,,,13.63024866662454,14.38841158314608,1.0,Object_Sea_Solid_Large,2.0,,,,,,,,,,,
encoding,fixation,1,8961384,8962142,8962040.0,8962350.0,311.0,102.0,1822.7,1341.6,1920.0,700.0,Object_Sea_Pattern_Large,,,13.63024866662454,14.38841158314608,1.0,Object_Sea_Solid_Large,2.0,,,,,,,,,,,
encoding,image,1,8962142,8963160,8962396.0,8963382.0,987.0,764.0,2182.1,911.8,2249.0,1269.0,Object_Sea_Solid_Large,,,14.388527333154345,15.406622708193026,1.0,Object_Sea_Solid_Large,2.0,,,,,,,,,,,
encoding,value,1,8963160,8969170,8963394.0,8963755.0,362.0,362.0,2217.2,858.5,2249.0,1269.0,Object_Sea_Solid_Large,,,15.406709416536614,21.41660683322698,1.0,Object_Sea_Solid_Large,2.0,,,,,,,,,,,
encoding,value,1,8963160,8969170,8963764.0,8964489.0,726.0,726.0,2190.5,895.8,2249.0,1269.0,Object_Sea_Solid_Large,,,15.406709416536614,21.41660683322698,1.0,Object_Sea_Solid_Large,2.0,,,,,,,,,,,
encoding,value,1,8963160,8969170,8964500.0,8964770.0,271.0,271.0,2206.6,859.4000000000001,2249.0,1269.0,Object_Sea_Solid_Large,,,15.406709416536614,21.41660683322698,1.0,Object_Sea_Solid_Large,2.0,,,,,,,,,,,
encoding,value,1,8963160,8969170,8964783.0,8965454.0,672.0,672.0,2182.2,899.0999999999999,2249.0,1269.0,Object_Sea_Solid_Large,,,15.406709416536614,21.41660683322698,1.0,Object_Sea_Solid_Large,2.0,,,,,,,,,,,
encoding,value,1,8963160,8969170,8965466.0,8965684.0,219.0,219.0,2216.1,833.7,2249.0,1269.0,Object_Sea_Solid_Large,,,15.406709416536614,21.41660683322698,1.0,Object_Sea_Solid_Large,2.0,,,,,,,,,,,
encoding,value,1,8963160,8969170,8965695.0,8965949.0,255.0,255.0,2191.2,879.5999999999999,2249.0,1269.0,Object_Sea_Solid_Large,,,15.406709416536614,21.41660683322698,1.0,Object_Sea_Solid_Large,2.0,,,,,,,,,,,
encoding,value,1,8963160,8969170,8966166.0,8966197.0,32.0,32.0,2221.7,784.0999999999999,2249.0,1269.0,Object_Sea_Solid_Large,,,15.406709416536614,21.41660683322698,1.0,Object_Sea_Solid_Large,2.0,,,,,,,,,,,
encoding,value,1,8963160,8969170,8966586.0,8967477.0,892.0,892.0,2188.0,911.0999999999999,2249.0,1269.0,Object_Sea_Solid_Large,,,15.406709416536614,21.41660683322698,1.0,Object_Sea_Solid_Large,2.0,,,,,,,,,,,
encoding,value,1,8963160,8969170,8967635.0,8968687.0,1053.0,1053.0,2185.8,888.0999999999999,2249.0,1269.0,Object_Sea_Solid_Large,,,15.406709416536614,21.41660683322698,1.0,Object_Sea_Solid_Large,2.0,,,,,,,,,,,
encoding,value,1,8963160,8969170,8968695.0,8968911.0,217.0,217.0,2206.5,919.8,2249.0,1269.0,Object_Sea_Solid_Large,,,15.406709416536614,21.41660683322698,1.0,Object_Sea_Solid_Large,2.0,,,,,,,,,,,
encoding,value,1,8963160,8969170,8969090.0,8969411.0,322.0,80.0,2188.5,885.4000000000001,2249.0,1269.0,Object_Sea_Solid_Large,,,15.406709416536614,21.41660683322698,1.0,Object_Sea_Solid_Large,2.0,,,,,,,,,,,
encoding,attention,1,8969170,8972185,8969427.0,8969556.0,130.0,130.0,2170.3,828.0999999999999,2249.0,1269.0,Object_Sea_Solid_Large,,,21.416708124917932,24.430940166581426,1.0,Object_Sea_Solid_Large,2.0,2.0,1.0,1.65176466666162,,,,,,,,
