subject,game,recalled_item,time_rel,bin_center,x_rot,y_rot,duration
114,1,Animal_Land_Pattern_Small,-1281.0,-1250.0,77.71898014765974,183.41322232818356,199.0
114,1,Animal_Land_Pattern_Small,-782.0,-750.0,-14.512486121389635,91.86363669361488,367.0
114,1,Animal_Land_Pattern_Small,-405.0,-450.0,-68.43484892481997,74.2673646539116,186.0
114,1,Animal_Land_Pattern_Small,-61.0,-50.0,-93.0983660014381,103.74889998386621,447.0
114,1,Animal_Land_Pattern_Small,539.0,550.0,-124.66720802728742,83.8700616589798,163.0
114,1,Animal_Land_Pattern_Small,715.0,750.0,-164.0966308906933,17.376297946442676,578.0
114,1,Object_Sea_Pattern_Large,-2981.0,-2950.0,197.70000000000005,24.400000000000066,199.0
114,1,Object_Sea_Pattern_Large,-2482.0,-2450.0,72.29999999999997,58.49999999999999,367.0
114,1,Object_Sea_Pattern_Large,-2105.0,-2150.0,30.09999999999992,96.40000000000009,186.0
114,1,Object_Sea_Pattern_Large,-1761.0,-1750.0,43.29999999999997,132.5,447.0
114,1,Object_Sea_Pattern_Large,-274.0,-250.0,-124.70000000000003,127.20000000000006,189.0
114,1,Object_Sea_Pattern_Large,449.0,450.0,-71.99999999999999,88.79999999999997,209.0
114,1,Object_Sea_Pattern_Large,675.0,650.0,-182.09999999999988,122.20000000000007,911.0
114,1,Object_Land_Pattern_Small,-2661.0,-2650.0,136.3983660014381,28.75110001613381,447.0
114,1,Object_Land_Pattern_Small,-1174.0,-1150.0,47.80843136138065,171.59336785191954,189.0
114,1,Object_Land_Pattern_Small,702.0,750.0,3.2409470904724103,116.18651497465946,199.0
114,1,Object_Sea_Solid_Large,-1171.0,-1150.0,66.50422493309716,65.98869650211337,163.0
114,1,Object_Sea_Solid_Large,-993.0,-950.0,120.50518682742049,162.5211061606722,151.0
114,1,Animal_Sea_Solid_Large,-2171.0,-2150.0,90.40000000000009,-24.59999999999991,163.0
114,1,Animal_Sea_Solid_Large,-1993.0,-1950.0,201.0,-23.09999999999991,151.0
114,1,Animal_Sea_Solid_Large,598.0,550.0,-141.70000000000005,-47.200000000000045,283.0
114,1,Animal_Land_Solid_Small,-505.0,-550.0,-63.08576026305177,33.66774200971548,183.0
114,1,Animal_Land_Solid_Small,-299.0,-250.0,-171.76544086526488,231.30647056310642,357.0
114,1,Animal_Land_Solid_Small,80.0,50.0,-257.16281292110216,381.41905779667894,199.0
114,1,Animal_Land_Solid_Small,305.0,350.0,-105.91159328797144,105.24426068533757,496.0
114,2,Object_Land_Pattern_Large,-2750.0,-2750.0,-462.9453557431215,-18.04487727513444,46.0
114,2,Object_Land_Pattern_Large,-2420.0,-2450.0,-69.67729189204353,12.515390309173462,184.0
114,2,Object_Land_Pattern_Large,-2193.0,-2150.0,-71.18150327867716,-367.089980237799,505.0
114,2,Object_Land_Pattern_Large,-1645.0,-1650.0,18.09795659435667,97.74658033460196,324.0
114,2,Object_Land_Pattern_Large,-1190.0,-1150.0,84.18997164968533,447.221308385038,404.0
