bin_center,mean_distance,sem_distance,n_samples,chance_level,chance_ci_95
-2975.0,54.40447856511835,2.3342282445226568,200,90,21.2416646549691
-2925.0,91.64365186535979,4.300995404786504,200,90,21.2416646549691
-2875.0,138.5955356642891,3.618771792501991,158,90,21.2416646549691
-2825.0,123.75838592319464,3.5752485426125697,189,90,21.2416646549691
-2775.0,107.63271234003918,3.069143063991417,181,90,21.2416646549691
-2725.0,67.05792538104468,1.8128399368068808,200,90,21.2416646549691
-2675.0,84.17414113801391,2.7377810189827216,172,90,21.2416646549691
-2625.0,69.84462170066396,2.5660260086852986,106,90,21.2416646549691
-2575.0,74.6080145240322,3.4682143298366563,100,90,21.2416646549691
-2525.0,71.7963653082994,4.8154893302321495,121,90,21.2416646549691
-2475.0,102.72026430286864,5.025844486506309,150,90,21.2416646549691
-2425.0,91.37709651263587,4.332064857322093,142,90,21.2416646549691
-2375.0,66.0998550841131,3.6343327031702457,150,90,21.2416646549691
-2325.0,56.706619201251144,3.2395270623224364,195,90,21.2416646549691
-2275.0,86.77297152037949,3.9314162106754718,200,90,21.2416646549691
-2225.0,85.49971984434181,4.023937268327863,200,90,21.2416646549691
-2175.0,72.70546288369272,4.577489306544106,167,90,21.2416646549691
-2125.0,53.16844958997501,4.2045480514233615,139,90,21.2416646549691
-2075.0,47.689510745205304,3.043299130387684,58,90,21.2416646549691
-2025.0,37.91288134098561,0.10431481715423506,50,90,21.2416646549691
-1975.0,56.81351677049495,2.7618383667175554,79,90,21.2416646549691
-1925.0,27.76444344053497,1.4786473443841914,100,90,21.2416646549691
-1875.0,49.79454935084121,4.1575281322773785,87,90,21.2416646549691
-1825.0,2.7073495784192234,0.15118427791514027,50,90,21.2416646549691
-1775.0,1.5921807400913122,0.07081789940725122,50,90,21.2416646549691
-1725.0,27.745412516171108,5.749336600692355,67,90,21.2416646549691
-1675.0,53.30604713198777,5.184710854946159,100,90,21.2416646549691
-1625.0,67.15064511159798,6.626310009898787,37,90,21.2416646549691
-1575.0,,,0,90,21.2416646549691
-1525.0,,,0,90,21.2416646549691
-1475.0,,,0,90,21.2416646549691
-1425.0,,,0,90,21.2416646549691
-1375.0,66.97555065667117,6.233636320937758,69,90,21.2416646549691
-1325.0,86.94635367044206,5.707155361605485,100,90,21.2416646549691
-1275.0,81.09667449530201,5.992558388919892,89,90,21.2416646549691
-1225.0,32.45299851412145,0.028282022402061104,50,90,21.2416646549691
-1175.0,32.32944132550014,0.031031255252922607,50,90,21.2416646549691
-1125.0,59.74981313660961,2.7701598001921357,96,90,21.2416646549691
-1075.0,56.47887506392216,2.0125000786815797,100,90,21.2416646549691
-1025.0,58.848262297752,4.924647638543886,69,90,21.2416646549691
-975.0,40.155777202354685,2.8407416917175943,50,90,21.2416646549691
-925.0,104.55064347923924,1.8281022044575537,3,90,21.2416646549691
-875.0,,,0,90,21.2416646549691
-825.0,149.0577357471815,7.894564917606994,5,90,21.2416646549691
-775.0,,,0,90,21.2416646549691
-725.0,158.2866734489052,2.3899921337440886,29,90,21.2416646549691
-675.0,103.4151055172993,1.1870522742013463,50,90,21.2416646549691
-625.0,99.1337515100878,0.04809645274330572,50,90,21.2416646549691
-575.0,99.33152694819873,0.024474424340927198,50,90,21.2416646549691
-525.0,99.04623374090434,0.03407844802113594,50,90,21.2416646549691
-475.0,99.11887480240078,0.018141457046763457,50,90,21.2416646549691
-425.0,99.09916851271971,0.025124440301445866,50,90,21.2416646549691
-375.0,131.87907601226215,5.717629230884111,26,90,21.2416646549691
-325.0,,,0,90,21.2416646549691
-275.0,,,0,90,21.2416646549691
-225.0,,,0,90,21.2416646549691
-175.0,,,0,90,21.2416646549691
-125.0,,,0,90,21.2416646549691
-75.0,,,0,90,21.2416646549691
-25.0,,,0,90,21.2416646549691
25.0,,,0,90,21.2416646549691
75.0,,,0,90,21.2416646549691
125.0,,,0,90,21.2416646549691
175.0,,,0,90,21.2416646549691
225.0,,,0,90,21.2416646549691
275.0,,,0,90,21.2416646549691
325.0,118.24046481053158,0.15651404041512676,38,90,21.2416646549691
375.0,119.00540051888161,0.039090526325410845,50,90,21.2416646549691
425.0,117.57929394733351,0.07596415334005592,50,90,21.2416646549691
475.0,116.67589771010422,0.04751031874268205,50,90,21.2416646549691
525.0,117.08370006519986,0.04289791513032922,50,90,21.2416646549691
575.0,118.34033847921923,0.06066616984040843,50,90,21.2416646549691
625.0,119.60714746032124,0.024388771266952106,50,90,21.2416646549691
675.0,119.43870635896755,0.04034054819559209,50,90,21.2416646549691
725.0,98.55926423192265,3.5105779052300266,75,90,21.2416646549691
