subject,phase,event,trial_number,game,option,choice,rt,roi_content,item_index,is_relevant,fix_start,fix_end,fix_duration_bounded
120,choice,choice,1,1.0,Sea,1.0,2.8450680000241846,Animal_Land_Solid_Large,0,0,10334071.0,10334683.0,612.0
120,choice,choice,1,1.0,Sea,1.0,2.8450680000241846,Animal_Land_Pattern_Large,1,0,10335430.0,10335974.0,544.0
120,choice,choice,1,1.0,Sea,1.0,2.8450680000241846,Object_Sea_Pattern_Small,2,1,10336169.0,10336250.0,81.0
120,choice,choice,2,1.0,Solid,1.0,16.09292145888321,Animal_Land_Pattern_Large,1,0,10341905.0,10342102.0,197.0
120,choice,choice,2,1.0,Solid,1.0,16.09292145888321,Object_Sea_Solid_Small,3,1,10342928.0,10343708.0,780.0
120,choice,choice,2,1.0,Solid,1.0,16.09292145888321,Animal_Land_Pattern_Large,1,0,10345981.0,10346114.0,133.0
120,choice,choice,2,1.0,Solid,1.0,16.09292145888321,Animal_Land_Solid_Large,0,1,10346138.0,10346337.0,199.0
120,choice,choice,2,1.0,Solid,1.0,16.09292145888321,Object_Sea_Solid_Small,3,1,10348344.0,10348400.0,56.0
120,choice,choice,2,1.0,Solid,1.0,16.09292145888321,Animal_Land_Solid_Large,0,1,10348653.0,10348743.0,90.0
120,choice,choice,2,1.0,Solid,1.0,16.09292145888321,Animal_Land_Pattern_Large,1,0,10348760.0,10349066.0,306.0
120,choice,choice,2,1.0,Solid,1.0,16.09292145888321,Object_Sea_Solid_Large,4,1,10349323.0,10349353.0,30.0
120,choice,choice,2,1.0,Solid,1.0,16.09292145888321,Animal_Land_Pattern_Large,1,0,10351917.0,10352169.0,252.0
120,choice,choice,2,1.0,Solid,1.0,16.09292145888321,Object_Sea_Pattern_Small,2,0,10352355.0,10352506.0,151.0
120,choice,choice,2,1.0,Solid,1.0,16.09292145888321,Animal_Land_Solid_Large,0,1,10352812.0,10353430.0,618.0
120,choice,choice,2,1.0,Solid,1.0,16.09292145888321,Object_Sea_Pattern_Small,2,0,10353827.0,10354035.0,208.0
120,choice,choice,2,1.0,Solid,1.0,16.09292145888321,Animal_Land_Solid_Large,0,1,10355231.0,10355520.0,289.0
120,choice,choice,3,1.0,Pattern,2.0,8.117281457874924,Animal_Land_Pattern_Small,5,1,10358638.0,10358883.0,245.0
120,choice,choice,3,1.0,Pattern,2.0,8.117281457874924,Object_Sea_Solid_Small,3,0,10361793.0,10361935.0,142.0
120,choice,choice,3,1.0,Pattern,2.0,8.117281457874924,Animal_Land_Solid_Large,0,0,10362337.0,10362487.0,150.0
120,choice,choice,3,1.0,Pattern,2.0,8.117281457874924,Object_Sea_Pattern_Small,2,1,10362729.0,10363050.0,321.0
120,choice,choice,3,1.0,Pattern,2.0,8.117281457874924,Animal_Land_Pattern_Large,1,1,10364675.0,10365383.0,708.0
120,choice,choice,3,1.0,Pattern,2.0,8.117281457874924,Object_Sea_Pattern_Small,2,1,10365842.0,10365999.0,157.0
120,choice,choice,3,1.0,Pattern,2.0,8.117281457874924,Object_Sea_Solid_Small,3,0,10366378.0,10366440.0,62.0
120,choice,choice,4,1.0,Object,1.0,2.5409377079922706,Object_Sea_Pattern_Small,2,1,10371620.0,10371691.0,71.0
120,choice,choice,5,1.0,Land,2.0,6.332581291906536,Animal_Land_Solid_Large,0,1,10375445.0,10375528.0,83.0
120,choice,choice,5,1.0,Land,2.0,6.332581291906536,Animal_Land_Pattern_Large,1,1,10375758.0,10376146.0,388.0
120,choice,choice,5,1.0,Land,2.0,6.332581291906536,Animal_Land_Solid_Large,0,1,10376953.0,10377503.0,550.0
120,choice,choice,5,1.0,Land,2.0,6.332581291906536,Object_Sea_Solid_Large,4,0,10378283.0,10378334.0,51.0
120,choice,choice,5,1.0,Land,2.0,6.332581291906536,Animal_Land_Pattern_Small,5,1,10378586.0,10378746.0,160.0
120,choice,choice,5,1.0,Land,2.0,6.332581291906536,Object_Sea_Pattern_Small,2,0,10378979.0,10379208.0,229.0
120,choice,choice,5,1.0,Land,2.0,6.332581291906536,Animal_Land_Pattern_Small,5,1,10381014.0,10381111.0,97.0
120,choice,choice,6,1.0,Small,1.0,12.137669584015384,Object_Sea_Solid_Large,4,0,10384422.0,10384554.0,132.0
120,choice,choice,6,1.0,Small,1.0,12.137669584015384,Animal_Land_Pattern_Large,1,0,10386607.0,10386901.0,294.0
120,choice,choice,6,1.0,Small,1.0,12.137669584015384,Object_Sea_Pattern_Small,2,1,10391250.0,10392162.0,912.0
120,choice,choice,8,1.0,Animal,2.0,6.868099209154025,Animal_Land_Solid_Large,0,1,10423374.0,10423532.0,158.0
120,choice,choice,8,1.0,Animal,2.0,6.868099209154025,Object_Sea_Pattern_Small,2,0,10423763.0,10424086.0,323.0
120,choice,choice,8,1.0,Animal,2.0,6.868099209154025,Object_Sea_Solid_Small,3,0,10425574.0,10425787.0,213.0
120,choice,choice,8,1.0,Animal,2.0,6.868099209154025,Animal_Land_Solid_Large,0,1,10426005.0,10426289.0,284.0
120,choice,choice,8,1.0,Animal,2.0,6.868099209154025,Object_Sea_Pattern_Small,2,0,10426557.0,10426982.0,425.0
120,choice,choice,8,1.0,Animal,2.0,6.868099209154025,Animal_Land_Solid_Large,0,1,10428407.0,10429037.0,630.0
120,choice,choice,10,2.0,Land,2.0,6.232474833028391,Object_Land_Pattern_Small,0,1,11018495.0,11018576.0,81.0
120,choice,choice,10,2.0,Land,2.0,6.232474833028391,Object_Sea_Pattern_Small,1,0,11020108.0,11021008.0,900.0
120,choice,choice,10,2.0,Land,2.0,6.232474833028391,Object_Land_Solid_Large,2,1,11024228.0,11024588.0,360.0
120,choice,choice,12,2.0,Animal,2.0,9.679018165916204,Object_Land_Pattern_Small,0,0,11045644.0,11045942.0,298.0
120,choice,choice,12,2.0,Animal,2.0,9.679018165916204,Object_Sea_Pattern_Small,1,0,11047568.0,11047652.0,84.0
120,choice,choice,12,2.0,Animal,2.0,9.679018165916204,Animal_Sea_Solid_Small,3,1,11047914.0,11048783.0,869.0
